dataset,snapshot,query_id,policy,batch,budget,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds
msmarco-passage-trec-dl-2019,0,490595,dibud,1,128,128,52,76,1,budget,22,22,22,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008304166956804693
msmarco-passage-trec-dl-2019,0,490595,dibud,1,256,256,114,142,1,budget,39,39,39,20,0.5724624301728537,0.5724624301728537,116,1,116,0.00830520794261247
msmarco-passage-trec-dl-2019,0,490595,dibud,1,512,512,199,313,1,budget,58,58,58,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008305832976475358
msmarco-passage-trec-dl-2019,0,490595,dibud,1,1024,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008306207950226963
msmarco-passage-trec-dl-2019,0,490595,dibud,1,2048,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008306499919854105
msmarco-passage-trec-dl-2019,0,490595,dibud,1,4096,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008306666975840926
msmarco-passage-trec-dl-2019,0,490595,dibud,1,8192,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008306832984089851
msmarco-passage-trec-dl-2019,0,490595,dibud,1,10000,1003,635,368,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,116,1,116,0.008306958014145494
msmarco-passage-trec-dl-2019,0,490595,balanced,1,128,128,64,64,1,budget,17,17,17,17,0.5183119899313551,0.5724624301728537,136,1,128,0.010218917042948306
msmarco-passage-trec-dl-2019,0,490595,balanced,1,256,256,128,128,1,budget,30,30,30,20,0.5724624301728537,0.5724624301728537,136,1,136,0.01021924999076873
msmarco-passage-trec-dl-2019,0,490595,balanced,1,512,512,256,256,1,budget,54,54,54,20,0.5724624301728537,0.5724624301728537,136,1,136,0.010219500050880015
msmarco-passage-trec-dl-2019,0,490595,balanced,1,1024,1024,512,512,1,budget,71,71,71,20,0.5724624301728537,0.5724624301728537,136,1,136,0.010219709016382694
msmarco-passage-trec-dl-2019,0,490595,balanced,1,2048,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.01021987502463162
msmarco-passage-trec-dl-2019,0,490595,balanced,1,4096,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.01022004196420312
msmarco-passage-trec-dl-2019,0,490595,balanced,1,8192,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.010220166994258761
msmarco-passage-trec-dl-2019,0,490595,balanced,1,10000,1269,635,634,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,136,1,136,0.010220292024314404
msmarco-passage-trec-dl-2019,0,490595,dibud,64,128,128,64,64,1,budget,17,17,17,17,0.5183119899313551,0.5724624301728537,192,1,128,0.001652791048400104
msmarco-passage-trec-dl-2019,0,490595,dibud,64,256,256,128,128,1,budget,30,30,30,20,0.5724624301728537,0.5724624301728537,192,1,192,0.001653374987654388
msmarco-passage-trec-dl-2019,0,490595,dibud,64,512,512,256,256,1,budget,54,54,54,20,0.5724624301728537,0.5724624301728537,192,1,192,0.001653833081945777
msmarco-passage-trec-dl-2019,0,490595,dibud,64,1024,1024,640,384,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,192,1,192,0.0016540830256417394
msmarco-passage-trec-dl-2019,0,490595,dibud,64,2048,1024,640,384,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,192,1,192,0.0016542080556973815
msmarco-passage-trec-dl-2019,0,490595,dibud,64,4096,1024,640,384,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,192,1,192,0.0016544160898774862
msmarco-passage-trec-dl-2019,0,490595,dibud,64,8192,1024,640,384,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,192,1,192,0.001654583029448986
msmarco-passage-trec-dl-2019,0,490595,dibud,64,10000,1024,640,384,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,192,1,192,0.0016547500854358077
msmarco-passage-trec-dl-2019,0,490595,balanced,64,128,128,64,64,1,budget,17,17,17,17,0.5183119899313551,0.5724624301728537,256,1,128,0.0020113750360906124
msmarco-passage-trec-dl-2019,0,490595,balanced,64,256,256,128,128,1,budget,30,30,30,20,0.5724624301728537,0.5724624301728537,256,1,256,0.002011875039897859
msmarco-passage-trec-dl-2019,0,490595,balanced,64,512,512,256,256,1,budget,54,54,54,20,0.5724624301728537,0.5724624301728537,256,1,256,0.002012333949096501
msmarco-passage-trec-dl-2019,0,490595,balanced,64,1024,1024,512,512,1,budget,71,71,71,20,0.5724624301728537,0.5724624301728537,256,1,256,0.002012624987401068
msmarco-passage-trec-dl-2019,0,490595,balanced,64,2048,1216,640,576,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,256,1,256,0.00201279204338789
msmarco-passage-trec-dl-2019,0,490595,balanced,64,4096,1216,640,576,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,256,1,256,0.00201291695702821
msmarco-passage-trec-dl-2019,0,490595,balanced,64,8192,1216,640,576,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,256,1,256,0.0020130419870838523
msmarco-passage-trec-dl-2019,0,490595,balanced,64,10000,1216,640,576,1,cap100,100,100,100,20,0.5724624301728537,0.5724624301728537,256,1,256,0.002013209043070674
msmarco-passage-trec-dl-2019,0,855410,dibud,1,128,128,64,64,1,budget,5,5,5,5,1.0,1.0,,0,128,0.06888916704338044
msmarco-passage-trec-dl-2019,0,855410,dibud,1,256,256,128,128,1,budget,5,5,5,5,1.0,1.0,,0,256,0.06889004202093929
msmarco-passage-trec-dl-2019,0,855410,dibud,1,512,512,256,256,1,budget,5,5,5,5,1.0,1.0,,0,512,0.06889054202474654
msmarco-passage-trec-dl-2019,0,855410,dibud,1,1024,1024,512,512,1,budget,5,5,5,5,1.0,1.0,,0,1024,0.06889075005892664
msmarco-passage-trec-dl-2019,0,855410,dibud,1,2048,2048,1024,1024,1,budget,5,5,5,5,1.0,1.0,,0,2048,0.06889091699849814
msmarco-passage-trec-dl-2019,0,855410,dibud,1,4096,4096,2048,2048,1,budget,5,5,5,5,1.0,1.0,,0,4096,0.06889104202855378
msmarco-passage-trec-dl-2019,0,855410,dibud,1,8192,8192,4096,4096,1,budget,5,5,5,5,1.0,1.0,,0,8192,0.06889116705860943
