dataset,query_id,policy,batch,complete20,last_k,last_cost,terminal_accesses,unresolved_accesses,max_gap,max_gap_rank,max_share,k_at25,k_at50,k_at75
msmarco-passage-trec-dl-2019,1037798,balanced,1,0,13,3976.0,10000,6024.0,3512.0,13,,,,
msmarco-passage-trec-dl-2019,1037798,balanced,64,0,13,4096.0,10000,5904.0,3584.0,13,,,,
msmarco-passage-trec-dl-2019,1037798,dibud,1,0,13,2984.0,6463,3479.0,2583.0,13,,,,
msmarco-passage-trec-dl-2019,1037798,dibud,64,0,13,3072.0,6472,3400.0,2624.0,13,,,,
msmarco-passage-trec-dl-2019,104861,balanced,1,1,20,551.0,10000,9449.0,112.0,1,0.20326678765880218,2.0,6.0,12.0
msmarco-passage-trec-dl-2019,104861,balanced,64,1,20,576.0,10000,9424.0,128.0,1,0.2222222222222222,1.0,4.0,10.0
msmarco-passage-trec-dl-2019,104861,dibud,1,1,20,475.0,5555,5080.0,112.0,1,0.23578947368421052,1.0,3.0,9.0
msmarco-passage-trec-dl-2019,104861,dibud,64,1,20,576.0,5576,5000.0,128.0,1,0.2222222222222222,1.0,4.0,10.0
msmarco-passage-trec-dl-2019,1063750,balanced,1,0,17,7192.0,10000,2808.0,3175.0,17,,,,
msmarco-passage-trec-dl-2019,1063750,balanced,64,0,17,7296.0,10000,2704.0,3264.0,17,,,,
msmarco-passage-trec-dl-2019,1063750,dibud,1,0,17,5605.0,7184,1579.0,2179.0,17,,,,
msmarco-passage-trec-dl-2019,1063750,dibud,64,0,17,5696.0,7240,1544.0,2176.0,17,,,,
msmarco-passage-trec-dl-2019,1103812,balanced,1,1,20,6222.0,10000,3778.0,3264.0,14,0.5245901639344263,13.0,13.0,13.0
msmarco-passage-trec-dl-2019,1103812,balanced,64,1,20,6272.0,10000,3728.0,3328.0,14,0.5306122448979592,13.0,13.0,13.0
msmarco-passage-trec-dl-2019,1103812,dibud,1,1,20,5359.0,7345,1986.0,2118.0,14,0.39522298936368727,13.0,13.0,15.0
msmarco-passage-trec-dl-2019,1103812,dibud,64,1,20,5440.0,7368,1928.0,2112.0,14,0.38823529411764707,13.0,13.0,15.0
msmarco-passage-trec-dl-2019,1106007,balanced,1,1,20,1180.0,10000,8820.0,280.0,20,0.23728813559322035,13.0,17.0,18.0
msmarco-passage-trec-dl-2019,1106007,balanced,64,1,20,1280.0,10000,8720.0,256.0,18,0.2,12.0,17.0,18.0
msmarco-passage-trec-dl-2019,1106007,dibud,1,1,20,964.0,6135,5171.0,207.0,20,0.21473029045643152,10.0,17.0,18.0
msmarco-passage-trec-dl-2019,1106007,dibud,64,1,20,1024.0,6152,5128.0,192.0,19,0.1875,10.0,17.0,18.0
msmarco-passage-trec-dl-2019,1110199,balanced,1,0,19,9304.0,10000,696.0,6160.0,18,,,,
msmarco-passage-trec-dl-2019,1110199,balanced,64,0,19,9344.0,10000,656.0,6144.0,18,,,,
msmarco-passage-trec-dl-2019,1110199,dibud,1,0,19,6003.0,6351,348.0,3764.0,18,,,,
msmarco-passage-trec-dl-2019,1110199,dibud,64,0,19,6080.0,6408,328.0,3776.0,18,,,,
msmarco-passage-trec-dl-2019,1112341,balanced,1,1,20,1397.0,10000,8603.0,410.0,20,0.2934860415175376,12.0,16.0,19.0
msmarco-passage-trec-dl-2019,1112341,balanced,64,1,20,1344.0,10000,8656.0,384.0,20,0.2857142857142857,10.0,16.0,19.0
