dataset,batch,n,dibud_lower,dibud_upper,balanced_lower,balanced_upper,delta_lower,delta_upper,ci_lower,ci_upper,wins,losses,ties,ambiguous
msmarco-passage-trec-dl-2019,1,43,0.36881208659117387,0.40751502708920134,0.3455548317963112,0.3455548317963112,0.02325725479486266,0.061960195292890256,0.01628717448106924,0.07161962731014454,38,0,1,4
msmarco-passage-trec-dl-2019,64,43,0.3628943059931612,0.40159724649118883,0.3455548317963112,0.3455548317963112,0.017339474196850068,0.05604241469487767,0.011446585285406683,0.06637682449284013,34,0,4,5
msmarco-passage-trec-dl-2020,1,54,0.31398549986724145,0.3608746205993505,0.29758497452364696,0.29758497452364696,0.016400525343594465,0.06328964607570338,0.012024938371685926,0.07148066042961565,47,0,2,5
msmarco-passage-trec-dl-2020,64,54,0.31120229367973856,0.3580914144118478,0.29758497452364696,0.29758497452364696,0.013617319156091656,0.06050643988820057,0.009457968813999688,0.06932504338112029,46,0,2,6
nfcorpus,1,323,0.5796977058499196,0.5796977058499196,0.5713813232746127,0.5713813232746127,0.00831638257530691,0.00831638257530691,0.006624793922999812,0.010153101705060523,161,0,162,0
nfcorpus,64,323,0.5774622779699968,0.5774622779699968,0.5713813232746127,0.5713813232746127,0.006080954695384274,0.006080954695384274,0.0045938289124908,0.007715919073199938,122,1,200,0
scifact,1,300,0.4404450985869469,0.4410722223828342,0.41702678249067693,0.41763683976721905,0.022808258819727804,0.024045439892157294,0.02014595920644673,0.02682221211492897,281,0,10,9
scifact,64,300,0.43682427987063366,0.437451403666521,0.41702678249067693,0.41763683976721905,0.019187440103414635,0.020424621175844124,0.016704721820822208,0.023002503897005262,261,0,30,9
trec-covid,1,50,0.23560461007196987,0.289660733137976,0.2203608541919645,0.2203608541919645,0.015243755880005374,0.06929987894601149,0.01013138535347068,0.0806158491253168,43,0,1,6
trec-covid,64,50,0.23348022179375366,0.2875363448597598,0.2203608541919645,0.2203608541919645,0.013119367601789158,0.06717549066779525,0.007963123701100853,0.07877241311677739,40,0,1,9
trec-covid-chrono-r1,1,30,0.2728274063592066,0.3096851587339134,0.25526824955682115,0.25526824955682115,0.017559156802385543,0.05441690917709227,0.011269817033237492,0.06800490820715727,26,0,1,3
trec-covid-chrono-r1,64,30,0.2706008414092045,0.3074585937839112,0.25526824955682115,0.25526824955682115,0.015332591852383304,0.05219034422709002,0.00967363161828972,0.06601132666224332,25,0,1,4
trec-covid-chrono-r2,1,30,0.2465760540640928,0.30134901871366016,0.2303135819914653,0.2303135819914653,0.01626247207262751,0.07103543672219491,0.010101989067413802,0.08282609111691562,28,0,0,2
trec-covid-chrono-r2,64,30,0.24426996893730474,0.2990429335868721,0.2303135819914653,0.2303135819914653,0.013956386945839479,0.06872935159540686,0.008435423291383592,0.08140943254762031,27,0,0,3
trec-covid-chrono-r3,1,30,0.22548313496349195,0.27406528254880214,0.21021015027240936,0.21021015027240936,0.015272984691082602,0.06385513227639276,0.007783924405795503,0.07671129147666686,27,0,0,3
trec-covid-chrono-r3,64,30,0.22359353113313307,0.2721756787184432,0.21021015027240936,0.21021015027240936,0.013383380860723715,0.06196552844603388,0.006328022658783978,0.07509818118338778,26,0,0,4
trec-covid-chrono-r4,1,30,0.2173583595337653,0.2700986741065424,0.20320805771471387,0.20320805771471387,0.01415030181905147,0.06689061639182858,0.008956908656758666,0.0800523790608653,28,0,0,2
trec-covid-chrono-r4,64,30,0.21535910101471537,0.26809178927439736,0.20320805771471387,0.20320805771471387,0.012151043300001503,0.06488373155968354,0.00709120659912019,0.07829540818508712,28,0,0,2
trec-covid-chrono-r5,1,30,0.19821057327959885,0.26158773848089784,0.18581771240340492,0.18581771240340492,0.012392860876193882,0.07577002607749289,0.007409387269432985,0.08898532995463122,26,0,0,4
trec-covid-chrono-r5,64,30,0.19513579311054816,0.2558847143326907,0.18581771240340492,0.18581771240340492,0.009318080707143177,0.07006700192928579,0.005373991783585007,0.08462726139983925,25,0,0,5
