budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
128,balanced_cert,20,0.5578288601887761,0.5367574603841343,0.2907236284099432
128,balanced_cert,100,0.5578288601887761,0.5367574603841343,0.2950515133266062
128,balanced_zero,20,0.6332147041130652,0.6069687143397493,0.3480894512091748
128,balanced_zero,100,0.6332147041130652,0.6069687143397493,0.5092121778007206
128,blocker_cert,20,0.5578288601887761,0.5367574603841343,0.2907236284099432
128,blocker_cert,100,0.5578288601887761,0.5367574603841343,0.2950515133266062
128,blocker_zero,20,0.6332147041130652,0.6069687143397493,0.3480894512091748
128,blocker_zero,100,0.6332147041130652,0.6069687143397493,0.5092121778007206
128,fixed_topL_zero,20,0.633163951098106,0.6069179613247899,0.34805307639140604
128,fixed_topL_zero,100,0.633163951098106,0.6069179613247899,0.5085387546128146
256,balanced_cert,20,0.6026344192266785,0.5786197203390575,0.3147031090907334
256,balanced_cert,100,0.6026344192266785,0.5786197203390575,0.330688176506204
256,balanced_zero,20,0.6400725178986932,0.6137341863437079,0.3468437005000793
256,balanced_zero,100,0.6400725178986932,0.6137341863437079,0.5136719996932421
256,blocker_cert,20,0.6026344192266785,0.5786197203390575,0.3147031090907334
256,blocker_cert,100,0.6026344192266785,0.5786197203390575,0.33071397629980565
256,blocker_zero,20,0.6400725178986932,0.6137341863437079,0.3468437005000793
256,blocker_zero,100,0.6400725178986932,0.6137341863437079,0.5135175194476026
256,fixed_topL_zero,20,0.639780903750024,0.6134392767726963,0.3470400716950672
256,fixed_topL_zero,100,0.639780903750024,0.6134392767726963,0.5136235957088893
512,balanced_cert,20,0.6260522413027452,0.6009918990111924,0.3296072584815181
512,balanced_cert,100,0.6260522413027452,0.6009918990111924,0.3684402611194067
512,balanced_zero,20,0.6437245884306708,0.6173591288603099,0.34786044730186483
512,balanced_zero,100,0.6437245884306708,0.6173591288603099,0.5179917007102228
512,blocker_cert,20,0.6260522413027452,0.6009918990111924,0.3298043423322029
512,blocker_cert,100,0.6260522413027452,0.6009918990111924,0.37207307848427446
512,blocker_zero,20,0.6437245884306708,0.6173591288603099,0.34764213369603386
512,blocker_zero,100,0.6437245884306708,0.6173591288603099,0.517829670430652
512,fixed_topL_zero,20,0.6435307387304681,0.6171652791601071,0.3478595652576391
512,fixed_topL_zero,100,0.6435307387304681,0.6171652791601071,0.5179965308933685
1024,balanced_cert,20,0.6355671800814199,0.609536292286589,0.3368479987623858
1024,balanced_cert,100,0.6355671800814199,0.609536292286589,0.3946055433049718
1024,balanced_zero,20,0.6442404054625532,0.6176631493007746,0.3495987267274508
1024,balanced_zero,100,0.6442404054625532,0.6176631493007746,0.5207110984534127
1024,blocker_cert,20,0.6358105544653722,0.6097823615839052,0.3380986661005555
1024,blocker_cert,100,0.6358105544653722,0.6097823615839052,0.40051799734852805
