dataset,n,budget,quality_lower,quality_upper,cost_saving_lower,baseline20_completion,completed_subset_n,completed_subset_saving,at20,zero_upper
msmarco-passage-trec-dl-2019,43,128,0.7464603034081496,0.7464603034081496,0.9987735038569147,1.0,43,0.9987735038569147,0.11627906976744186,0.0
msmarco-passage-trec-dl-2019,43,256,0.8766974111313854,0.8766974111313854,0.9979178035765858,1.0,43,0.9979178035765858,0.46511627906976744,0.0
msmarco-passage-trec-dl-2019,43,512,0.9393174415778511,0.9393174415778511,0.996783778637603,1.0,43,0.996783778637603,0.6046511627906976,0.0
msmarco-passage-trec-dl-2019,43,1024,0.9570182837478911,0.9570182837478911,0.9949127172048369,1.0,43,0.9949127172048369,0.6744186046511628,0.0
msmarco-passage-trec-dl-2019,43,2048,0.9644432871304325,0.9644432871304325,0.9924230553032464,1.0,43,0.9924230553032464,0.7906976744186046,0.0
msmarco-passage-trec-dl-2019,43,4096,0.9738864462284564,0.9738864462284564,0.9882249537416218,1.0,43,0.9882249537416218,0.7906976744186046,0.0
msmarco-passage-trec-dl-2019,43,8192,0.9766875826659459,0.9766875826659459,0.980473999192813,1.0,43,0.980473999192813,0.813953488372093,0.0
msmarco-passage-trec-dl-2019,43,10000,0.9804092313187489,0.9804092313187489,0.9772707602408442,1.0,43,0.9772707602408442,0.8372093023255814,0.0
msmarco-passage-trec-dl-2020,54,128,0.7826710996545464,0.7826710996545464,0.9857326398464239,1.0,54,0.9857326398464239,0.1111111111111111,0.0
msmarco-passage-trec-dl-2020,54,256,0.87085102862649,0.87085102862649,0.9748001735855026,1.0,54,0.9748001735855026,0.35185185185185186,0.0
msmarco-passage-trec-dl-2020,54,512,0.9319873613474534,0.9319873613474534,0.9586216627011358,1.0,54,0.9586216627011358,0.5370370370370371,0.0
msmarco-passage-trec-dl-2020,54,1024,0.9588650104355825,0.9588650104355825,0.9349631558357436,1.0,54,0.9349631558357436,0.6851851851851852,0.0
msmarco-passage-trec-dl-2020,54,2048,0.9723918348877156,0.9723918348877156,0.9042457902308987,1.0,54,0.9042457902308987,0.7592592592592593,0.0
msmarco-passage-trec-dl-2020,54,4096,0.978695018483547,0.978695018483547,0.8518708540962544,1.0,54,0.8518708540962544,0.7962962962962963,0.0
msmarco-passage-trec-dl-2020,54,8192,0.9861893677501224,0.9861893677501224,0.7701167854188178,1.0,54,0.7701167854188178,0.8518518518518519,0.0
msmarco-passage-trec-dl-2020,54,10000,0.9879465473581988,0.9879465473581988,0.73919633332692,1.0,54,0.73919633332692,0.8518518518518519,0.0
nfcorpus,323,128,0.9050889020392837,0.9050889020392837,0.8402911698400195,1.0,323,0.8402911698400195,0.2786377708978328,0.02476780185758514
nfcorpus,323,256,0.9496844111717927,0.9496844111717927,0.7231758879503127,1.0,323,0.7231758879503127,0.4520123839009288,0.018575851393188854
nfcorpus,323,512,0.9721128633413187,0.9721128633413187,0.5570343410199998,1.0,323,0.5570343410199998,0.6346749226006192,0.009287925696594427
nfcorpus,323,1024,0.9853221974510261,0.9853221974510261,0.34849390227340626,1.0,323,0.34849390227340626,0.7739938080495357,0.0030959752321981426
nfcorpus,323,2048,0.9986603971278327,0.9986603971278327,0.10855039791400711,1.0,323,0.10855039791400711,0.9009287925696594,0.0
nfcorpus,323,4096,1.0,1.0,0.004250753727897405,1.0,323,0.004250753727897405,0.9969040247678018,0.0
nfcorpus,323,8192,1.0,1.0,0.0,1.0,323,0.0,1.0,0.0
nfcorpus,323,10000,1.0,1.0,0.0,1.0,323,0.0,1.0,0.0
scifact,300,128,0.9767628626655708,0.9767628626655708,0.8341262049268119,1.0,300,0.8341262049268119,0.11333333333333333,0.0033333333333333335
scifact,300,256,0.9865047662070738,0.9865047662070738,0.7077427704391288,1.0,300,0.7077427704391288,0.4,0.0
scifact,300,512,0.995492580014683,0.995492580014683,0.5576401285255266,1.0,300,0.5576401285255266,0.68,0.0
scifact,300,1024,0.9989600347329284,0.9989600347329284,0.3988263120314174,1.0,300,0.3988263120314174,0.8233333333333334,0.0
scifact,300,2048,1.0,1.0,0.20575687254551944,1.0,300,0.20575687254551944,0.9,0.0
scifact,300,4096,1.0,1.0,0.03156015708675475,1.0,300,0.03156015708675475,0.9566666666666667,0.0
scifact,300,8192,1.0,1.0,0.0,1.0,300,0.0,1.0,0.0
scifact,300,10000,1.0,1.0,0.0,1.0,300,0.0,1.0,0.0
trec-covid,50,128,0.5005677312449676,0.5005677312449676,0.9887894144045515,1.0,50,0.9887894144045515,0.0,0.06
trec-covid,50,256,0.6909396645933843,0.6909396645933843,0.9781656328988647,1.0,50,0.9781656328988647,0.12,0.0
trec-covid,50,512,0.7959834932211096,0.7959834932211096,0.9603775865360867,1.0,50,0.9603775865360867,0.3,0.0
trec-covid,50,1024,0.8747149386087789,0.8747149386087789,0.9319657586676219,1.0,50,0.9319657586676219,0.42,0.0
trec-covid,50,2048,0.9086591430187777,0.9086591430187777,0.8830735922394721,1.0,50,0.8830735922394721,0.46,0.0
trec-covid,50,4096,0.9377478797360332,0.9377478797360332,0.7958780078088735,1.0,50,0.7958780078088735,0.54,0.0
trec-covid,50,8192,0.9708084131445147,0.9708084131445147,0.658273324586741,1.0,50,0.658273324586741,0.7,0.0
trec-covid,50,10000,0.976894154999739,0.976894154999739,0.6119665994615415,1.0,50,0.6119665994615415,0.72,0.0
