dataset,batch,budget,cap,n,both_known,delta_lower,delta_upper,ci_lower,ci_upper
msmarco-passage-trec-dl-2019,1,128,20,43,1.0,0.5581395348837209,0.5581395348837209,0.27906976744186046,0.8372093023255814
msmarco-passage-trec-dl-2019,1,128,100,43,1.0,0.6046511627906976,0.6046511627906976,0.3023255813953488,0.9534883720930233
msmarco-passage-trec-dl-2019,1,256,20,43,1.0,0.27906976744186046,0.27906976744186046,0.09302325581395349,0.5116279069767442
msmarco-passage-trec-dl-2019,1,256,100,43,1.0,1.3255813953488371,1.3255813953488371,0.7906976744186046,1.930232558139535
msmarco-passage-trec-dl-2019,1,512,20,43,1.0,0.3023255813953488,0.3023255813953488,0.046511627906976744,0.6511627906976745
msmarco-passage-trec-dl-2019,1,512,100,43,1.0,2.046511627906977,2.046511627906977,1.255813953488372,3.000581395348834
msmarco-passage-trec-dl-2019,1,1024,20,43,1.0,0.18604651162790697,0.18604651162790697,0.046511627906976744,0.37209302325581395
msmarco-passage-trec-dl-2019,1,1024,100,43,1.0,2.4651162790697674,2.4651162790697674,1.2325581395348837,4.093604651162788
msmarco-passage-trec-dl-2019,1,2048,20,43,1.0,0.13953488372093023,0.13953488372093023,0.0,0.37209302325581395
msmarco-passage-trec-dl-2019,1,2048,100,43,1.0,4.325581395348837,4.325581395348837,2.394767441860465,6.535465116279067
msmarco-passage-trec-dl-2019,1,4096,20,43,1.0,0.046511627906976744,0.046511627906976744,0.0,0.13953488372093023
msmarco-passage-trec-dl-2019,1,4096,100,43,1.0,2.7209302325581395,2.7209302325581395,0.8372093023255814,5.744767441860462
msmarco-passage-trec-dl-2019,1,8192,20,43,1.0,0.046511627906976744,0.046511627906976744,0.0,0.13953488372093023
msmarco-passage-trec-dl-2019,1,8192,100,43,1.0,3.627906976744186,3.627906976744186,1.5116279069767442,6.1401162790697645
msmarco-passage-trec-dl-2019,1,10000,20,43,1.0,0.11627906976744186,0.11627906976744186,0.0,0.3029069767441829
msmarco-passage-trec-dl-2019,1,10000,100,43,1.0,2.488372093023256,2.488372093023256,0.9767441860465116,4.605232558139532
msmarco-passage-trec-dl-2019,64,128,20,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,128,100,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,256,20,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,256,100,43,1.0,0.0,0.0,0.0,0.0
msmarco-passage-trec-dl-2019,64,512,20,43,1.0,0.11627906976744186,0.11627906976744186,0.0,0.3488372093023256
msmarco-passage-trec-dl-2019,64,512,100,43,1.0,0.7674418604651163,0.7674418604651163,0.37209302325581395,1.2325581395348837
msmarco-passage-trec-dl-2019,64,1024,20,43,1.0,0.16279069767441862,0.16279069767441862,0.023255813953488372,0.3488372093023256
msmarco-passage-trec-dl-2019,64,1024,100,43,1.0,2.302325581395349,2.302325581395349,1.1395348837209303,3.953488372093023
msmarco-passage-trec-dl-2019,64,2048,20,43,1.0,0.11627906976744186,0.11627906976744186,0.0,0.32558139534883723
msmarco-passage-trec-dl-2019,64,2048,100,43,1.0,3.7209302325581395,3.7209302325581395,2.0232558139534884,5.721511627906974
msmarco-passage-trec-dl-2019,64,4096,20,43,1.0,0.046511627906976744,0.046511627906976744,0.0,0.13953488372093023
msmarco-passage-trec-dl-2019,64,4096,100,43,1.0,2.6744186046511627,2.6744186046511627,0.8372093023255814,5.884883720930226
msmarco-passage-trec-dl-2019,64,8192,20,43,1.0,0.046511627906976744,0.046511627906976744,0.0,0.13953488372093023
msmarco-passage-trec-dl-2019,64,8192,100,43,1.0,3.627906976744186,3.627906976744186,1.372093023255814,6.348837209302325
msmarco-passage-trec-dl-2019,64,10000,20,43,1.0,0.11627906976744186,0.11627906976744186,0.0,0.3488372093023256
msmarco-passage-trec-dl-2019,64,10000,100,43,1.0,2.4651162790697674,2.4651162790697674,1.0459302325581397,4.605232558139532
msmarco-passage-trec-dl-2020,1,128,20,54,1.0,0.16666666666666666,0.16666666666666666,0.05509259259259262,0.3148148148148148
msmarco-passage-trec-dl-2020,1,128,100,54,1.0,0.2777777777777778,0.2777777777777778,0.12962962962962962,0.48148148148148145
msmarco-passage-trec-dl-2020,1,256,20,54,1.0,0.16666666666666666,0.16666666666666666,0.037037037037037035,0.3148148148148148
msmarco-passage-trec-dl-2020,1,256,100,54,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0925925925925926
msmarco-passage-trec-dl-2020,1,512,20,54,1.0,0.16666666666666666,0.16666666666666666,0.07407407407407407,0.2962962962962963
msmarco-passage-trec-dl-2020,1,512,100,54,1.0,1.5555555555555556,1.5555555555555556,0.8333333333333334,2.6481481481481484
msmarco-passage-trec-dl-2020,1,1024,20,54,1.0,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.3333333333333333
msmarco-passage-trec-dl-2020,1,1024,100,54,1.0,1.9259259259259258,1.9259259259259258,1.2407407407407407,2.6856481481481453
msmarco-passage-trec-dl-2020,1,2048,20,54,1.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555
msmarco-passage-trec-dl-2020,1,2048,100,54,1.0,3.4074074074074074,3.4074074074074074,1.537037037037037,6.186574074074066
