dataset,n,L_choices,ndcg10,full_ndcg10,delta,ci_lower,ci_upper,ordered20,overlap20,accesses
msmarco-passage-trec-dl-2019,43,"5000,5000,500,5000,5000",0.6798228077770471,0.6811598045187115,-0.0013369967416644313,-0.017886800735510345,0.0003928365779760973,0.9069767441860465,0.9941860465116279,8116.279069767442
msmarco-passage-trec-dl-2020,54,"20,20,20,20,20",0.6424099060225614,0.6242520728424649,0.01815783318009656,-0.01269938790999733,0.03675489717985764,0.0,0.6953703703703703,40.0
nfcorpus,323,"5000,5000,5000,2000,5000",0.36650413921177066,0.3665343037130103,-3.016450123966008e-05,-0.00745079663531367,0.0004300890228197939,0.9845201238390093,0.99984520123839,3864.996904024768
scifact,300,"200,50,200,50,50",0.7437268780403734,0.7441578091215507,-0.0004309310811773104,-0.013385909507907566,0.0037821561185271287,0.3233333333333333,0.8725,219.55333333333334
trec-covid,50,"2000,200,5000,200,200",0.8031082823091517,0.8058709779448426,-0.0027626956356909815,-0.010857082727167821,0.006696223639404568,0.44,0.9540000000000001,3040.0
