dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
nfcorpus,0,PLAIN-1098,2000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1098,5000,3633,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1109,10,20,0.5837154733670048,0.6405914129030108,0,0.65
nfcorpus,0,PLAIN-1109,20,40,0.6405914129030108,0.6405914129030108,0,0.8
nfcorpus,0,PLAIN-1109,50,92,0.6405914129030108,0.6405914129030108,0,1.0
nfcorpus,0,PLAIN-1109,100,142,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,200,242,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,500,542,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,1000,1042,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,2000,2042,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1109,5000,3675,0.6405914129030108,0.6405914129030108,1,1.0
nfcorpus,0,PLAIN-1119,10,20,0.0,0.0,0,0.55
nfcorpus,0,PLAIN-1119,20,40,0.0,0.0,0,0.55
nfcorpus,0,PLAIN-1119,50,100,0.0,0.0,0,0.65
nfcorpus,0,PLAIN-1119,100,200,0.0,0.0,0,0.9
nfcorpus,0,PLAIN-1119,200,400,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1119,500,877,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1119,1000,1377,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1119,2000,2377,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1119,5000,4010,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-112,10,20,0.556130598831661,0.5014505893948701,0,0.7
nfcorpus,0,PLAIN-112,20,40,0.5503964172051111,0.5014505893948701,0,0.75
nfcorpus,0,PLAIN-112,50,100,0.5014505893948701,0.5014505893948701,0,0.85
nfcorpus,0,PLAIN-112,100,200,0.5014505893948701,0.5014505893948701,0,0.85
nfcorpus,0,PLAIN-112,200,400,0.5014505893948701,0.5014505893948701,0,0.8
nfcorpus,0,PLAIN-112,500,1000,0.5014505893948701,0.5014505893948701,0,0.95
nfcorpus,0,PLAIN-112,1000,2000,0.5014505893948701,0.5014505893948701,1,1.0
nfcorpus,0,PLAIN-112,2000,3016,0.5014505893948701,0.5014505893948701,1,1.0
nfcorpus,0,PLAIN-112,5000,4649,0.5014505893948701,0.5014505893948701,1,1.0
nfcorpus,0,PLAIN-1130,10,11,1.0,1.0,0,0.5
nfcorpus,0,PLAIN-1130,20,21,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,50,51,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,100,101,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,200,201,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,500,501,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,1000,1001,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,2000,2001,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1130,5000,3634,1.0,1.0,1,1.0
nfcorpus,0,PLAIN-1141,10,20,0.22009176629808017,0.22009176629808017,0,0.55
nfcorpus,0,PLAIN-1141,20,40,0.22009176629808017,0.22009176629808017,0,0.6
nfcorpus,0,PLAIN-1141,50,100,0.22009176629808017,0.22009176629808017,0,0.75
nfcorpus,0,PLAIN-1141,100,200,0.22009176629808017,0.22009176629808017,0,0.9
nfcorpus,0,PLAIN-1141,200,400,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1141,500,1000,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1141,1000,2000,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1141,2000,3268,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1141,5000,4901,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1151,10,20,0.39767223286316733,0.599976751690748,0,0.7
nfcorpus,0,PLAIN-1151,20,40,0.39215784798408637,0.599976751690748,0,0.75
nfcorpus,0,PLAIN-1151,50,100,0.5363559634917963,0.599976751690748,0,0.8
nfcorpus,0,PLAIN-1151,100,200,0.599976751690748,0.599976751690748,0,0.85
nfcorpus,0,PLAIN-1151,200,400,0.599976751690748,0.599976751690748,1,1.0
nfcorpus,0,PLAIN-1151,500,752,0.599976751690748,0.599976751690748,1,1.0
nfcorpus,0,PLAIN-1151,1000,1252,0.599976751690748,0.599976751690748,1,1.0
nfcorpus,0,PLAIN-1151,2000,2252,0.599976751690748,0.599976751690748,1,1.0
nfcorpus,0,PLAIN-1151,5000,3885,0.599976751690748,0.599976751690748,1,1.0
nfcorpus,0,PLAIN-1161,10,20,0.0,0.0,0,0.7
nfcorpus,0,PLAIN-1161,20,40,0.0,0.0,0,0.75
nfcorpus,0,PLAIN-1161,50,100,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1161,100,153,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1161,200,253,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1161,500,553,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1161,1000,1053,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1161,2000,2053,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1161,5000,3686,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1172,10,11,0.22009176629808017,0.22009176629808017,0,0.5
nfcorpus,0,PLAIN-1172,20,21,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,50,51,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,100,101,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,200,201,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,500,501,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,1000,1001,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,2000,2001,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1172,5000,3634,0.22009176629808017,0.22009176629808017,1,1.0
nfcorpus,0,PLAIN-1183,10,20,0.19518900079066107,0.20483424751859086,0,0.8
nfcorpus,0,PLAIN-1183,20,34,0.20483424751859086,0.20483424751859086,0,0.95
nfcorpus,0,PLAIN-1183,50,64,0.20483424751859086,0.20483424751859086,0,0.95
nfcorpus,0,PLAIN-1183,100,114,0.20483424751859086,0.20483424751859086,0,0.95
nfcorpus,0,PLAIN-1183,200,214,0.20483424751859086,0.20483424751859086,0,0.95
nfcorpus,0,PLAIN-1183,500,514,0.20483424751859086,0.20483424751859086,0,0.95
nfcorpus,0,PLAIN-1183,1000,1014,0.20483424751859086,0.20483424751859086,0,0.95
nfcorpus,0,PLAIN-1183,2000,2014,0.20483424751859086,0.20483424751859086,1,1.0
nfcorpus,0,PLAIN-1183,5000,3647,0.20483424751859086,0.20483424751859086,1,1.0
