dataset,query_id,policy,batch,complete20,last_k,last_cost,terminal_accesses,unresolved_accesses,max_gap,max_gap_rank,max_share,k_at25,k_at50,k_at75
scifact,279,dibud,64,1,20,320.0,4928,4608.0,128.0,1,0.4,0,12,12
scifact,294,balanced,1,1,20,248.0,5046,4798.0,42.0,19,0.1693548387096774,6,13,18
scifact,294,balanced,64,1,20,256.0,5120,4864.0,128.0,1,0.5,0,13,13
scifact,294,dibud,1,1,20,215.0,3394,3179.0,34.0,14,0.15813953488372093,6,12,17
scifact,294,dibud,64,1,20,256.0,3456,3200.0,128.0,1,0.5,0,13,13
scifact,295,balanced,1,1,20,91.0,1351,1260.0,21.0,5,0.23076923076923078,4,9,14
scifact,295,balanced,64,1,20,128.0,1408,1280.0,128.0,1,1.0,0,0,0
scifact,295,dibud,1,1,20,90.0,1346,1256.0,17.0,20,0.18888888888888888,4,10,16
scifact,295,dibud,64,1,20,128.0,1408,1280.0,128.0,1,1.0,0,0,0
scifact,298,balanced,1,1,20,473.0,6984,6511.0,74.0,15,0.15644820295983086,11,14,17
scifact,298,balanced,64,1,20,512.0,7012,6500.0,128.0,1,0.25,11,15,17
scifact,298,dibud,1,1,20,454.0,6402,5948.0,71.0,15,0.15638766519823788,11,14,17
scifact,298,dibud,64,1,20,512.0,6436,5924.0,128.0,1,0.25,11,15,17
scifact,3,balanced,1,1,20,183.0,2328,2145.0,39.0,7,0.21311475409836064,6,8,13
scifact,3,balanced,64,1,20,256.0,2432,2176.0,128.0,1,0.5,0,13,18
scifact,3,dibud,1,1,20,170.0,1700,1530.0,32.0,7,0.18823529411764706,6,8,14
scifact,3,dibud,64,1,20,256.0,1792,1536.0,128.0,1,0.5,0,13,18
scifact,300,balanced,1,1,20,622.0,5493,4871.0,163.0,18,0.2620578778135048,12,16,17
scifact,300,balanced,64,1,20,640.0,5440,4800.0,128.0,1,0.2,10,16,17
scifact,300,dibud,1,1,20,510.0,5418,4908.0,95.0,17,0.18627450980392157,10,16,17
scifact,300,dibud,64,1,20,576.0,5440,4864.0,128.0,1,0.2222222222222222,10,16,17
scifact,303,balanced,1,1,20,289.0,5909,5620.0,88.0,15,0.3044982698961938,6,14,15
scifact,303,balanced,64,1,20,384.0,5916,5532.0,128.0,1,0.3333333333333333,0,14,16
scifact,303,dibud,1,1,20,280.0,5909,5629.0,84.0,15,0.3,6,14,15
scifact,303,dibud,64,1,20,384.0,5916,5532.0,128.0,1,0.3333333333333333,0,14,16
scifact,312,balanced,1,1,20,562.0,7464,6902.0,123.0,19,0.2188612099644128,6,12,16
scifact,312,balanced,64,1,20,640.0,7508,6868.0,192.0,19,0.3,6,11,18
scifact,312,dibud,1,1,20,501.0,6850,6349.0,89.0,19,0.17764471057884232,6,11,14
scifact,312,dibud,64,1,20,576.0,6868,6292.0,128.0,1,0.2222222222222222,6,11,15
scifact,314,balanced,1,1,20,387.0,6505,6118.0,82.0,17,0.21188630490956073,9,16,18
scifact,314,balanced,64,1,20,448.0,6534,6086.0,128.0,1,0.2857142857142857,0,11,17
scifact,314,dibud,1,1,20,373.0,6505,6132.0,78.0,17,0.20911528150134048,9,16,18
scifact,314,dibud,64,1,20,448.0,6534,6086.0,128.0,1,0.2857142857142857,0,11,17
scifact,324,balanced,1,1,20,1730.0,6482,4752.0,578.0,12,0.33410404624277457,9,11,12
scifact,324,balanced,64,1,20,1792.0,6528,4736.0,640.0,12,0.35714285714285715,9,11,12
scifact,324,dibud,1,1,20,1517.0,6482,4965.0,542.0,12,0.3572841133816744,9,11,12
scifact,324,dibud,64,1,20,1600.0,6528,4928.0,576.0,12,0.36,9,11,12
scifact,327,balanced,1,1,20,915.0,7070,6155.0,200.0,20,0.2185792349726776,6,16,18
scifact,327,balanced,64,1,20,960.0,7070,6110.0,256.0,20,0.26666666666666666,4,16,19
scifact,327,dibud,1,1,20,855.0,7070,6215.0,179.0,20,0.20935672514619882,6,16,18
scifact,327,dibud,64,1,20,960.0,7070,6110.0,256.0,20,0.26666666666666666,4,16,19
scifact,338,balanced,1,1,20,196.0,3734,3538.0,38.0,11,0.19387755102040816,4,10,17
scifact,338,balanced,64,1,20,256.0,3752,3496.0,128.0,1,0.5,0,12,12
scifact,338,dibud,1,1,20,196.0,3734,3538.0,38.0,11,0.19387755102040816,6,10,17
scifact,338,dibud,64,1,20,256.0,3776,3520.0,128.0,1,0.5,0,12,12
scifact,343,balanced,1,1,20,133.0,2863,2730.0,28.0,12,0.21052631578947367,6,9,11
scifact,343,balanced,64,1,20,192.0,2880,2688.0,128.0,1,0.6666666666666666,0,0,19
scifact,343,dibud,1,1,20,124.0,2426,2302.0,19.0,12,0.1532258064516129,6,9,13
scifact,343,dibud,64,1,20,192.0,2496,2304.0,128.0,1,0.6666666666666666,0,0,19
scifact,350,balanced,1,1,20,274.0,6990,6716.0,68.0,16,0.24817518248175183,11,15,17
scifact,350,balanced,64,1,20,384.0,7025,6641.0,128.0,1,0.3333333333333333,0,15,18
scifact,350,dibud,1,1,20,238.0,6990,6752.0,68.0,16,0.2857142857142857,9,15,17
scifact,350,dibud,64,1,20,320.0,7025,6705.0,128.0,1,0.4,0,15,15
scifact,354,balanced,1,1,20,633.0,6687,6054.0,134.0,19,0.21169036334913113,11,14,17
scifact,354,balanced,64,1,20,576.0,6693,6117.0,128.0,1,0.2222222222222222,9,13,16
scifact,354,dibud,1,1,20,535.0,6687,6152.0,106.0,19,0.19813084112149532,9,14,17
scifact,354,dibud,64,1,20,576.0,6693,6117.0,128.0,1,0.2222222222222222,9,13,16
scifact,36,balanced,1,1,20,91.0,5024,4933.0,22.0,9,0.24175824175824176,8,9,15
scifact,36,balanced,64,1,20,128.0,5072,4944.0,128.0,1,1.0,0,0,0
scifact,36,dibud,1,1,20,89.0,3597,3508.0,21.0,9,0.23595505617977527,8,9,15
