dataset,snapshot,query_id,policy,batch,budget,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper
nfcorpus,0,PLAIN-1008,dibud,1,128,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212280750274658,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,256,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212290287017822,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,512,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212290287017822,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,1024,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212297439575195,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,2048,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212297439575195,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,4096,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212297439575195,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,8192,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212297439575195,21.0,21.0,0.0
nfcorpus,0,PLAIN-1008,dibud,1,10000,101,100,1,1,cap100,100,100,100,20,0.0,0.0,21,1,21,0.0212297439575195,21.0,21.0,0.0
nfcorpus,0,PLAIN-1018,dibud,1,128,128,103,25,1,budget,20,20,20,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298728942871093,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,256,256,231,25,1,budget,20,20,20,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298738479614257,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,512,512,487,25,1,budget,21,21,21,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298750400543212,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,1024,1024,999,25,1,budget,25,25,25,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298750400543212,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,2048,1646,1621,25,1,cap100,100,100,100,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298750400543212,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,4096,1646,1621,25,1,cap100,100,100,100,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298750400543212,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,8192,1646,1621,25,1,cap100,100,100,100,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298750400543212,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-1018,dibud,1,10000,1646,1621,25,1,cap100,100,100,100,20,0.4039236827401102,0.4039236827401102,114,1,114,0.0298759937286376,114.0,114.0,0.4039236827401102
nfcorpus,0,PLAIN-102,dibud,1,128,128,62,66,1,budget,3,3,3,3,0.0,0.085292284498625,456,1,128,0.0457489490509033,456.0,128.0,0.0
nfcorpus,0,PLAIN-102,dibud,1,256,256,123,133,1,budget,10,10,10,10,0.0,0.085292284498625,456,1,256,0.0457489490509033,456.0,256.0,0.0
nfcorpus,0,PLAIN-102,dibud,1,512,512,219,293,1,budget,21,21,21,20,0.085292284498625,0.085292284498625,456,1,456,0.0457499027252197,456.0,456.0,0.085292284498625
