dataset,snapshot,policy,batch,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper,query_id,budget,target,fold
msmarco-passage-trec-dl-2019,0,dibud,1,512,218,294,1,budget,14,14,14,14,0.5354357165368452,0.5485313500927161,1368,1,512,0.1013412475585937,1368.0,512.0,0.5354357165368452,527433,512,0.9,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,339,173,1,budget,49,49,49,20,0.7676881394093797,0.7676881394093797,173,1,173,0.0893330574035644,173.0,173.0,0.7676881394093797,87181,512,0.9,2
msmarco-passage-trec-dl-2019,0,dibud,1,512,410,102,1,budget,34,34,34,20,0.8544371755254724,0.8544371755254724,115,1,115,0.1969881057739257,115.0,115.0,0.8544371755254724,1121402,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,244,268,1,budget,10,10,10,10,0.6219246997409494,0.8496160394118507,196410,1,512,1.854228973388672,196410.0,512.0,0.6219246997409494,131843,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,305,207,1,budget,34,34,34,20,0.7582482245778552,0.7582482245778552,214,1,214,0.1138842105865478,214.0,214.0,0.7582482245778552,146187,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,298,214,1,budget,89,89,89,20,1.0,1.0,175,1,175,0.0205399990081787,175.0,175.0,1.0,168216,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,375,137,1,budget,31,31,31,20,0.90514894987294,0.90514894987294,222,1,222,0.1023828983306884,222.0,222.0,0.90514894987294,183378,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,231,281,1,budget,14,14,14,14,0.6371450194414994,0.6560273738894549,1523,1,512,0.102536916732788,1523.0,512.0,0.6371450194414994,19335,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,236,276,1,budget,25,25,25,20,0.5732483835577233,0.5732483835577233,311,1,311,0.1036357879638671,311.0,311.0,0.5732483835577233,207786,512,0.9,3
msmarco-passage-trec-dl-2019,0,dibud,1,512,372,140,1,budget,67,67,67,20,0.5895448150252994,0.5895448150252994,136,1,136,0.0307681560516357,136.0,136.0,0.5895448150252994,405717,512,0.9,3
