dataset,query_id,k,batch_size,certified,censored_at_5000,certificate_depth,depth_lower_bound,depth_per_k,exceeds_1000,exceeds_2000,overlap_at_k,overlap_at_5k,overlap_at_10k_capped1000,fused_topk_dual_seen_fraction,fused_topk_opposite_rank_median,fused_topk_opposite_rank_max,fused_topk_any_opposite_censored,kth_lower_at_5000,anonymous_upper_at_5000,strongest_competitor_upper_at_5000,minimum_order_slack_at_5000,ambiguity_at_5000,known_k20_poison_query,judged_relevant_total,judged_relevant_retrieved,judged_recall_at_k,judged_dcg_at_k,judged_ndcg_at_k
msmarco-passage-trec-dl-2019,130510,50,64,0,1,,5001,,1,1,0.44,0.208,0.19,0.94,84.5,5001,1,0.01258623693138361,0.0003952569095417857,0.03177805617451668,-0.00016495399177074432,seen-competitor,0,28,27,0.9642857142857143,27.809364474563857,0.8376996334827124
msmarco-passage-trec-dl-2019,130510,100,64,0,1,,5001,,1,1,0.3,0.19,0.17,0.8,324.5,5001,1,0.009345794096589088,0.0003952569095417857,0.03177805617451668,-0.00016495399177074432,seen-competitor,0,28,27,0.9642857142857143,27.809364474563857,0.8376996334827124
msmarco-passage-trec-dl-2019,489204,5,64,1,0,128,128,25.6,0,0,0.0,0.08,0.14,1.0,34.0,43,0,0.024115297943353653,0.0003952569095417857,0.02964426949620247,3.079138696193695e-05,certified,0,96,4,0.041666666666666664,5.561606311644851,0.43296558421234305
msmarco-passage-trec-dl-2019,489204,10,64,1,0,192,192,19.2,0,0,0.2,0.14,0.18,1.0,41.5,120,0,0.020971206948161125,0.0003952569095417857,0.02964426949620247,3.079138696193695e-05,certified,0,96,5,0.052083333333333336,5.9178134987528725,0.33565433467531713
msmarco-passage-trec-dl-2019,489204,20,64,1,0,448,448,22.4,0,0,0.1,0.18,0.24,1.0,75.5,254,0,0.018767360597848892,0.0003952569095417857,0.02964426949620247,1.1593103408813477e-05,certified,0,96,8,0.08333333333333333,7.192300767530402,0.2863085289581705
msmarco-passage-trec-dl-2019,489204,50,64,0,1,,5001,,1,1,0.14,0.232,0.278,0.96,129.0,5001,1,0.014369640499353409,0.0003952569095417857,0.02964426949620247,-0.00012194924056529999,seen-competitor,0,96,12,0.125,8.3531214256745,0.25516800087590863
msmarco-passage-trec-dl-2019,489204,100,64,0,1,,5001,,1,1,0.18,0.278,0.325,0.97,297.5,5001,1,0.01077526155859232,0.0003952569095417857,0.02964426949620247,-0.00012194924056529999,seen-competitor,0,96,17,0.17708333333333334,9.180572038832702,0.22852034035344262
msmarco-passage-trec-dl-2019,573724,5,64,1,0,64,64,12.8,0,0,0.2,0.4,0.58,1.0,10.0,17,0,0.02903091162443161,0.0003952569095417857,0.030621785670518875,0.00031325407326221466,certified,0,69,5,0.07246376811594203,5.7221647333484755,0.4454648995104376
msmarco-passage-trec-dl-2019,573724,10,64,1,0,64,64,6.4,0,0,0.3,0.58,0.65,1.0,14.5,34,0,0.026153847575187683,0.0003952569095417857,0.030621785670518875,0.00010033324360847473,certified,0,69,10,0.14492753623188406,7.919324943885392,0.44917869508352665
msmarco-passage-trec-dl-2019,573724,20,64,1,0,128,128,6.4,0,0,0.4,0.65,0.525,1.0,25.0,73,0,0.02386363595724106,0.0003952569095417857,0.030621785670518875,3.4656375646591187e-05,certified,0,69,19,0.2753623188405797,11.68957977777145,0.5374260404058488
