dataset,k,queries,censored_count,censored_rate,censored_rate_ci_low,censored_rate_ci_high,exceeds_1000_rate,exceeds_2000_rate,depth_p50_uncensored,depth_p90_uncensored,depth_max_uncensored,mean_overlap_at_k,mean_dual_seen_fraction,mean_judged_recall_at_k,mean_judged_ndcg_at_k,mean_judged_dcg_at_k,mean_marginal_dcg_from_previous_k,anonymous_tail_ambiguity_rate,seen_competitor_ambiguity_rate
msmarco-passage-trec-dl-2019,5,43,0,0.0,0.0,0.0,0.0,0.0,64.0,128.0,896.0,0.23255813953488372,1.0,0.10034120733526392,0.6165877610662845,10.454816552080919,,0.0,0.0
msmarco-passage-trec-dl-2019,10,43,2,0.046511627906976744,0.0,0.11627906976744186,0.09302325581395349,0.06976744186046512,128.0,320.0,3776.0,0.2627906976744186,0.9813953488372094,0.16286359809352124,0.6125388434041821,14.735699430136153,4.280882878055234,0.0,0.046511627906976744
msmarco-passage-trec-dl-2019,20,43,8,0.18604651162790697,0.06976744186046512,0.3023255813953488,0.23255813953488372,0.20930232558139536,128.0,844.8000000000002,3136.0,0.2720930232558139,0.9500000000000001,0.2649377899691903,0.6105707735630173,19.92579244559441,5.190093015458258,0.0,0.18604651162790697
msmarco-passage-trec-dl-2019,50,43,23,0.5348837209302325,0.3953488372093023,0.6976744186046512,0.6976744186046512,0.6511627906976745,480.0,4204.800000000001,4800.0,0.2902325581395349,0.8753488372093023,0.44288127047106923,0.6233105697865161,27.415007474543362,7.489215028948951,0.0,0.5348837209302325
msmarco-passage-trec-dl-2019,100,43,32,0.7441860465116279,0.6046511627906976,0.8604651162790697,0.8837209302325582,0.8372093023255814,1088.0,4416.0,4544.0,0.2981395348837209,0.7948837209302325,0.5644818935054663,0.6344726852201676,33.69117883442586,6.2761713598825,0.0,0.7441860465116279
msmarco-passage-trec-dl-2020,5,54,0,0.0,0.0,0.0,0.0,0.0,64.0,128.0,256.0,0.2851851851851852,1.0,0.11368364538825732,0.5901750699281629,10.109850195878453,,0.0,0.0
msmarco-passage-trec-dl-2020,10,54,0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,96.0,473.60000000000036,3648.0,0.32037037037037047,1.0,0.20925620511403611,0.5807015822873915,13.700375906720634,3.590525710842181,0.0,0.0
msmarco-passage-trec-dl-2020,20,54,8,0.14814814814814814,0.05555555555555555,0.24074074074074073,0.24074074074074073,0.2222222222222222,192.0,1152.0,4800.0,0.3101851851851852,0.9777777777777779,0.32271178031603887,0.5875323711877577,17.9270981044439,4.226722197723266,0.0,0.14814814814814814
msmarco-passage-trec-dl-2020,50,54,30,0.5555555555555556,0.42592592592592593,0.6851851851851852,0.7592592592592593,0.6666666666666666,800.0,3257.5999999999995,4864.0,0.28148148148148144,0.8762962962962964,0.5073624696359077,0.6087176019513848,23.4857901527341,5.558692048290201,0.0,0.5555555555555556
msmarco-passage-trec-dl-2020,100,54,51,0.9444444444444444,0.8703703703703703,1.0,1.0,0.9629629629629629,1152.0,2688.0,3072.0,0.267037037037037,0.783888888888889,0.62364214788687,0.6246959923713006,26.795765553539848,3.3099754008057474,0.0,0.9444444444444444
pooled,5,97,0,0.0,0.0,0.0,0.0,0.0,64.0,128.0,896.0,0.26185567010309285,1.0,0.10776895635445612,0.6018837886801137,10.262773425947588,,0.0,0.0
pooled,10,97,2,0.020618556701030927,0.0,0.05154639175257732,0.061855670103092786,0.041237113402061855,128.0,460.8000000000011,3776.0,0.2948453608247422,0.9917525773195877,0.1886904102492718,0.5948150073185462,14.159333757306895,3.896560331359307,0.0,0.020618556701030927
pooled,20,97,16,0.16494845360824742,0.09278350515463918,0.23711340206185566,0.23711340206185566,0.21649484536082475,192.0,960.0,4800.0,0.2932989690721649,0.9654639175257732,0.2971006299560957,0.5977452712097799,18.813117245366293,4.653783488059398,0.0,0.16494845360824742
pooled,50,97,53,0.5463917525773195,0.44329896907216493,0.6494845360824743,0.7319587628865979,0.6597938144329897,640.0,3929.600000000002,4864.0,0.2853608247422681,0.875876288659794,0.4787780205215978,0.6151866495484017,25.22760814075264,6.414490895386347,0.0,0.5463917525773195
pooled,100,97,83,0.8556701030927835,0.7835051546391752,0.9175257731958762,0.9484536082474226,0.9072164948453608,1152.0,4185.6,4544.0,0.2808247422680412,0.788762886597938,0.5974164681095467,0.6290299902321386,29.852495152283137,4.624887011530497,0.0,0.8556701030927835
