dataset,k,rho_difficulty_overlap_at_k,rho_difficulty_dual_seen_fraction,rho_difficulty_opposite_rank_median,rho_difficulty_minimum_slack
msmarco-passage-trec-dl-2019,5,-0.6022927498958038,,0.7436682369604243,0.3088733528793326
msmarco-passage-trec-dl-2019,10,-0.5183649837556187,-0.46653140747406524,0.7834623153337993,-0.023783372269446726
msmarco-passage-trec-dl-2019,20,-0.6713928098367118,-0.6716872804598545,0.8756246476687528,-0.28718516184636284
msmarco-passage-trec-dl-2019,50,-0.6258730834489152,-0.8571049548866563,0.7433021700858575,-0.7897942288601688
msmarco-passage-trec-dl-2019,100,-0.6706721013800703,-0.7300653758699748,0.6853553178974633,-0.7403920705006514
msmarco-passage-trec-dl-2020,5,-0.2779469936035124,,0.6829140256492727,0.2469829618615634
msmarco-passage-trec-dl-2020,10,-0.511323166391003,,0.68064962069781,0.1935395832380932
msmarco-passage-trec-dl-2020,20,-0.53233253598633,-0.5988588947532202,0.7278678301642398,-0.4006232960499219
msmarco-passage-trec-dl-2020,50,-0.5631286946853669,-0.8508554545842089,0.7438047611545303,-0.8071467182173601
msmarco-passage-trec-dl-2020,100,-0.2980336927939602,-0.3971244383858233,0.31383174768933714,-0.396685183194352
pooled,5,-0.41852005685841676,,0.7119958949224606,0.28396504763546615
pooled,10,-0.5210341549665602,-0.3198049276758448,0.728631276508225,0.09549073538785537
pooled,20,-0.5904444514982244,-0.6309016287343093,0.8002294269608586,-0.358593394589372
pooled,50,-0.5993627632482443,-0.8539061676466274,0.7369155785493884,-0.8011298479001305
pooled,100,-0.5053602331620854,-0.6003558888608265,0.5092452601601625,-0.6052526885132216
