dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
trec-covid-chrono-r1,1,128,fixed_topL_zero,20,0.3859386028426837,0.33065632399448247,0.019736842105263157
trec-covid-chrono-r1,1,128,fixed_topL_zero,100,0.3859386028426837,0.33065632399448247,0.04276315789473684
trec-covid-chrono-r1,2,128,fixed_topL_zero,20,0.5771493379489847,0.5771493379489846,0.09090909090909091
trec-covid-chrono-r1,2,128,fixed_topL_zero,100,0.5771493379489847,0.5771493379489846,0.2727272727272727
trec-covid-chrono-r1,3,128,fixed_topL_zero,20,0.729810904701146,0.6902136533001978,0.04580152671755725
trec-covid-chrono-r1,3,128,fixed_topL_zero,100,0.729810904701146,0.6902136533001978,0.16412213740458015
trec-covid-chrono-r1,4,128,fixed_topL_zero,20,0.6952907195818419,0.6168647000880481,0.11570247933884298
trec-covid-chrono-r1,4,128,fixed_topL_zero,100,0.6952907195818419,0.6168647000880481,0.2396694214876033
trec-covid-chrono-r1,5,128,fixed_topL_zero,20,0.9633180389503199,0.9510907186004267,0.08097165991902834
trec-covid-chrono-r1,5,128,fixed_topL_zero,100,0.9633180389503199,0.9510907186004267,0.2631578947368421
trec-covid-chrono-r1,6,128,fixed_topL_zero,20,0.9194787060880302,0.89263827478404,0.0391644908616188
trec-covid-chrono-r1,6,128,fixed_topL_zero,100,0.9194787060880302,0.89263827478404,0.13315926892950392
trec-covid-chrono-r1,7,128,fixed_topL_zero,20,0.933745776545611,0.933745776545611,0.1568627450980392
trec-covid-chrono-r1,7,128,fixed_topL_zero,100,0.933745776545611,0.933745776545611,0.38235294117647056
trec-covid-chrono-r1,8,128,fixed_topL_zero,20,0.5495506857569824,0.5133405669482773,0.06134969325153374
trec-covid-chrono-r1,8,128,fixed_topL_zero,100,0.5495506857569824,0.5133405669482773,0.1656441717791411
trec-covid-chrono-r1,9,128,fixed_topL_zero,20,0.7183627972686238,0.7183627972686238,0.14285714285714285
trec-covid-chrono-r1,9,128,fixed_topL_zero,100,0.7183627972686238,0.7183627972686238,0.25396825396825395
trec-covid-chrono-r1,10,128,fixed_topL_zero,20,1.0,1.0,0.15384615384615385
trec-covid-chrono-r1,10,128,fixed_topL_zero,100,1.0,1.0,0.47692307692307695
trec-covid-chrono-r1,11,128,fixed_topL_zero,20,0.2818942288451128,0.18792948589674183,0.05357142857142857
trec-covid-chrono-r1,11,128,fixed_topL_zero,100,0.2818942288451128,0.18792948589674183,0.17857142857142858
trec-covid-chrono-r1,12,128,fixed_topL_zero,20,0.8289493111868723,0.7950761555614223,0.04155124653739612
trec-covid-chrono-r1,12,128,fixed_topL_zero,100,0.8289493111868723,0.7950761555614223,0.17174515235457063
trec-covid-chrono-r1,13,128,fixed_topL_zero,20,0.7460031101536818,0.661337480204909,0.03581267217630854
trec-covid-chrono-r1,13,128,fixed_topL_zero,100,0.7460031101536818,0.661337480204909,0.1349862258953168
trec-covid-chrono-r1,14,128,fixed_topL_zero,20,0.49462655327766886,0.43149599683167955,0.11827956989247312
trec-covid-chrono-r1,14,128,fixed_topL_zero,100,0.49462655327766886,0.43149599683167955,0.1935483870967742
trec-covid-chrono-r1,15,128,fixed_topL_zero,20,0.2514797164066605,0.19210778497089365,0.04895104895104895
trec-covid-chrono-r1,15,128,fixed_topL_zero,100,0.2514797164066605,0.19210778497089365,0.1048951048951049
trec-covid-chrono-r1,16,128,fixed_topL_zero,20,0.4933445079595171,0.39937976501114614,0.088
trec-covid-chrono-r1,16,128,fixed_topL_zero,100,0.4933445079595171,0.39937976501114614,0.208
trec-covid-chrono-r1,17,128,fixed_topL_zero,20,0.8913696435738849,0.8783032654107725,0.10687022900763359
trec-covid-chrono-r1,17,128,fixed_topL_zero,100,0.8913696435738849,0.8783032654107725,0.29770992366412213
trec-covid-chrono-r1,18,128,fixed_topL_zero,20,0.7248126708708642,0.6763752317122659,0.061224489795918366
trec-covid-chrono-r1,18,128,fixed_topL_zero,100,0.7248126708708642,0.6763752317122659,0.20918367346938777
trec-covid-chrono-r1,19,128,fixed_topL_zero,20,0.3823381879984209,0.3359247564272036,0.13924050632911392
trec-covid-chrono-r1,19,128,fixed_topL_zero,100,0.3823381879984209,0.3359247564272036,0.24050632911392406
trec-covid-chrono-r1,20,128,fixed_topL_zero,20,0.727329844310522,0.727329844310522,0.07017543859649122
trec-covid-chrono-r1,20,128,fixed_topL_zero,100,0.727329844310522,0.727329844310522,0.2046783625730994
trec-covid-chrono-r1,21,128,fixed_topL_zero,20,0.32730659600126993,0.32730659600126993,0.041916167664670656
trec-covid-chrono-r1,21,128,fixed_topL_zero,100,0.32730659600126993,0.32730659600126993,0.1497005988023952
trec-covid-chrono-r1,22,128,fixed_topL_zero,20,0.9266360779006401,0.92663607790064,0.1744186046511628
trec-covid-chrono-r1,22,128,fixed_topL_zero,100,0.9266360779006401,0.92663607790064,0.3953488372093023
trec-covid-chrono-r1,23,128,fixed_topL_zero,20,0.7421246259355073,0.7421246259355073,0.2692307692307692
trec-covid-chrono-r1,23,128,fixed_topL_zero,100,0.7421246259355073,0.7421246259355073,0.46153846153846156
trec-covid-chrono-r1,24,128,fixed_topL_zero,20,0.8815473456401717,0.8420631275202292,0.25862068965517243
trec-covid-chrono-r1,24,128,fixed_topL_zero,100,0.8815473456401717,0.8420631275202292,0.5344827586206896
trec-covid-chrono-r1,25,128,fixed_topL_zero,20,0.5352543167750639,0.5352543167750637,0.05263157894736842
trec-covid-chrono-r1,25,128,fixed_topL_zero,100,0.5352543167750639,0.5352543167750637,0.19548872180451127
