budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
128,balanced_cert,20,0.5223890534266438,0.5080961871214928,0.025179442560728887
128,balanced_cert,100,0.5223890534266438,0.5080961871214928,0.025179442560728887
128,balanced_zero,20,0.7343341950039272,0.70823110968196,0.0556570469692852
128,balanced_zero,100,0.7343341950039272,0.70823110968196,0.16424216868596866
128,blocker_cert,20,0.5223890534266438,0.5080961871214928,0.025179442560728887
128,blocker_cert,100,0.5223890534266438,0.5080961871214928,0.025179442560728887
128,blocker_zero,20,0.7343341950039272,0.70823110968196,0.0556570469692852
128,blocker_zero,100,0.7343341950039272,0.70823110968196,0.16424216868596866
128,fixed_topL_zero,20,0.7343341950039272,0.70823110968196,0.0556570469692852
128,fixed_topL_zero,100,0.7343341950039272,0.70823110968196,0.16424216868596866
256,balanced_cert,20,0.6351012885149945,0.6163409103907042,0.03682003537714936
256,balanced_cert,100,0.6351012885149945,0.6163409103907042,0.03824668296700619
256,balanced_zero,20,0.7529319522887434,0.7268492558772135,0.05798654534037643
256,balanced_zero,100,0.7529319522887434,0.7268492558772135,0.16923119486803065
256,blocker_cert,20,0.6351012885149945,0.6163409103907042,0.03682003537714936
256,blocker_cert,100,0.6351012885149945,0.6163409103907042,0.03824668296700619
256,blocker_zero,20,0.7529319522887434,0.7268492558772135,0.05798654534037643
256,blocker_zero,100,0.7529319522887434,0.7268492558772135,0.16923119486803065
256,fixed_topL_zero,20,0.7529319522887434,0.7268492558772135,0.05798654534037643
256,fixed_topL_zero,100,0.7529319522887434,0.7268492558772135,0.16923119486803065
512,balanced_cert,20,0.6965774459349484,0.674882495664443,0.04617026623585358
512,balanced_cert,100,0.6965774459349484,0.674882495664443,0.05312461352094926
512,balanced_zero,20,0.7543739381645787,0.7276525770008494,0.05845666970236148
512,balanced_zero,100,0.7543739381645787,0.7276525770008494,0.17484321390705487
512,blocker_cert,20,0.6970665387489441,0.6753715884784388,0.046282665069612004
512,blocker_cert,100,0.6970665387489441,0.6753715884784388,0.0547146455231576
512,blocker_zero,20,0.7543739381645787,0.7276525770008494,0.05844137154317541
512,blocker_zero,100,0.7543739381645787,0.7276525770008494,0.17486487386695423
512,fixed_topL_zero,20,0.7543739381645787,0.7276525770008494,0.05845666970236148
512,fixed_topL_zero,100,0.7543739381645787,0.7276525770008494,0.17484321390705487
1024,balanced_cert,20,0.723779457552198,0.7003480999941455,0.05033312037596522
1024,balanced_cert,100,0.723779457552198,0.7003480999941455,0.06775013237310995
1024,balanced_zero,20,0.7511306097017887,0.7248894078653623,0.058526028359146304
1024,balanced_zero,100,0.7511306097017887,0.7248894078653623,0.1778808962643154
1024,blocker_cert,20,0.7262915028589012,0.7026287305445909,0.05070178373379307
1024,blocker_cert,100,0.7262915028589012,0.7026287305445909,0.06968817759662467
1024,blocker_zero,20,0.7511605678091894,0.7250707315378943,0.05857746880086192
1024,blocker_zero,100,0.7511605678091894,0.7250707315378943,0.17822731820102128
1024,fixed_topL_zero,20,0.7511306097017887,0.7248894078653623,0.058526028359146304
1024,fixed_topL_zero,100,0.7511306097017887,0.7248894078653623,0.1778808962643154
2048,balanced_cert,20,0.7374925532197987,0.7131825846284283,0.05326485217432571
2048,balanced_cert,100,0.7374925532197987,0.7131825846284283,0.07896797546692867
2048,balanced_zero,20,0.750290784352746,0.7246389182856795,0.05858456862846451
2048,balanced_zero,100,0.750290784352746,0.7246389182856795,0.17872485534815188
2048,blocker_cert,20,0.7402359679823635,0.7157787677833167,0.05384652180895319
2048,blocker_cert,100,0.7402359679823635,0.7157787677833167,0.08296834410532788
2048,blocker_zero,20,0.7520330411697318,0.7263776451043515,0.058651243516449056
2048,blocker_zero,100,0.7520330411697318,0.7263776451043515,0.17828299771485423
2048,fixed_topL_zero,20,0.750290784352746,0.7246389182856795,0.05858456862846451
2048,fixed_topL_zero,100,0.750290784352746,0.7246389182856795,0.17872485534815188
4096,balanced_cert,20,0.7444602239097636,0.7196055621705407,0.05517262894064995
4096,balanced_cert,100,0.7444602239097636,0.7196055621705407,0.09114773661745405
4096,balanced_zero,20,0.753111532303943,0.7273769267159698,0.058762356534181194
4096,balanced_zero,100,0.753111532303943,0.7273769267159698,0.17853480975393413
4096,blocker_cert,20,0.7460677675311203,0.7211359599897453,0.05563953413915549
4096,blocker_cert,100,0.7460677675311203,0.7211359599897453,0.0983479799910508
4096,blocker_zero,20,0.7531845751056067,0.7274595275143667,0.05869048518440378
4096,blocker_zero,100,0.7531845751056067,0.7274595275143667,0.17819848980875652
4096,fixed_topL_zero,20,0.753111532303943,0.7273769267159698,0.058762356534181194
4096,fixed_topL_zero,100,0.753111532303943,0.7273769267159698,0.17853480975393413
8192,balanced_cert,20,0.7470071539177079,0.7219035971101347,0.05638386413435751
8192,balanced_cert,100,0.7470071539177079,0.7219035971101347,0.10942821134044711
8192,balanced_zero,20,0.7526839234486128,0.7269685808833842,0.058920772480742616
8192,balanced_zero,100,0.7526839234486128,0.7269685808833842,0.17860706261237966
8192,blocker_cert,20,0.7472385913241638,0.7220578887144387,0.056536308167219454
8192,blocker_cert,100,0.7472385913241638,0.7220578887144387,0.11242668882207524
8192,blocker_zero,20,0.7526708144480708,0.7269440422193675,0.05884501490498504
8192,blocker_zero,100,0.7526708144480708,0.7269440422193675,0.17870929821192658
8192,fixed_topL_zero,20,0.7526839234486128,0.7269685808833842,0.058920772480742616
8192,fixed_topL_zero,100,0.7526839234486128,0.7269685808833842,0.17860706261237966
10000,balanced_cert,20,0.7476802861471931,0.7224995835374679,0.05657632219197527
10000,balanced_cert,100,0.7476802861471931,0.7224995835374679,0.11444430270192975
10000,balanced_zero,20,0.7526945134435541,0.7269756408800118,0.05884501490498504
10000,balanced_zero,100,0.7526945134435541,0.7269756408800118,0.17868995235355037
10000,blocker_cert,20,0.7476802861471931,0.7224995835374679,0.05657632219197527
10000,blocker_cert,100,0.7476802861471931,0.7224995835374679,0.11444430270192975
10000,blocker_zero,20,0.7526945134435541,0.7269756408800118,0.05884501490498504
10000,blocker_zero,100,0.7526945134435541,0.7269756408800118,0.17868995235355037
10000,fixed_topL_zero,20,0.7526945134435541,0.7269756408800118,0.05884501490498504
10000,fixed_topL_zero,100,0.7526945134435541,0.7269756408800118,0.17868995235355037
