budget,cap,method,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
128,20,balanced_cert,128,9.500684570523436,0.017620227038183695,0.45901811985504115,0.45901811985504115,0.7264567899456804,0,0.5367574603841343,0.2907236284099432
128,20,balanced_zero,128,20,0,1,0.5952743204721029,0.8229656210750314,0.016415868673050615,0.6069687143397493,0.3480894512091748
128,20,blocker_cert,128,9.500684570523436,0.017620227038183695,0.45901811985504115,0.45901811985504115,0.7264567899456804,0,0.5367574603841343,0.2907236284099432
128,20,blocker_zero,128,20,0,1,0.5952743204721029,0.8229656210750314,0.016415868673050615,0.6069687143397493,0.3480894512091748
128,20,fixed_topL_zero,124.29349845201239,20,0,1,0.5921783452399048,0.8209222774217806,0.0182734538123695,0.6069179613247899,0.34805307639140604
128,100,balanced_cert,128,12.346295197638419,0.017620227038183695,0.45901811985504115,0.45901811985504115,0.7264567899456804,0,0.5367574603841343,0.2950515133266062
128,100,balanced_zero,128,99.19794209646322,0,1,0.5952743204721029,0.8229656210750314,0.016415868673050615,0.6069687143397493,0.5092121778007206
128,100,blocker_cert,128,12.346295197638419,0.017620227038183695,0.45901811985504115,0.45901811985504115,0.7264567899456804,0,0.5367574603841343,0.2950515133266062
128,100,blocker_zero,128,99.19794209646322,0,1,0.5952743204721029,0.8229656210750314,0.016415868673050615,0.6069687143397493,0.5092121778007206
128,100,fixed_topL_zero,124.29349845201239,97.06976872185022,0,1,0.5921783452399048,0.8209222774217806,0.0182734538123695,0.6069179613247899,0.5085387546128146
256,20,balanced_cert,256,13.338733674130607,0.0037151702786377707,0.6844911960704314,0.6844911960704314,0.8582149492137396,0,0.5786197203390575,0.3147031090907334
256,20,balanced_zero,256,20,0,1,0.7729346271896491,0.9134037605032493,0.015796673626610986,0.6137341863437079,0.3468437005000793
256,20,blocker_cert,256,13.338733674130607,0.0037151702786377707,0.6844911960704314,0.6844911960704314,0.8582149492137396,0,0.5786197203390575,0.3147031090907334
256,20,blocker_zero,256,20,0,1,0.7729346271896491,0.9134037605032493,0.015796673626610986,0.6137341863437079,0.3468437005000793
256,20,fixed_topL_zero,247.28002889576882,20,0,1,0.7673618717716925,0.9109269803174908,0.016415868673050615,0.6134392767726963,0.3470400716950672
256,100,balanced_cert,256,18.134409127393646,0.0037151702786377707,0.6844911960704314,0.6844911960704314,0.8582149492137396,0,0.5786197203390575,0.330688176506204
256,100,balanced_zero,256,100,0,1,0.7729346271896491,0.9134037605032493,0.015796673626610986,0.6137341863437079,0.5136719996932421
256,100,blocker_cert,256,18.13935122119023,0.0037151702786377707,0.6844911960704314,0.6844911960704314,0.8582149492137396,0,0.5786197203390575,0.33071397629980565
256,100,blocker_zero,256,100,0,1,0.7729346271896491,0.9134037605032493,0.015796673626610986,0.6137341863437079,0.5135175194476026
256,100,fixed_topL_zero,247.28002889576882,100,0,1,0.7673618717716925,0.9109269803174908,0.016415868673050615,0.6134392767726963,0.5136235957088893
512,20,balanced_cert,512,15.734289832348008,0.0018575851393188853,0.8181023351813186,0.8181023351813186,0.9266511163910689,0,0.6009918990111924,0.3296072584815181
512,20,balanced_zero,512,20,0,1,0.8781151297456287,0.9600265491209403,0.023177478580171357,0.61735912886031,0.34786044730186483
512,20,blocker_cert,512,15.786537275701795,0.0018575851393188853,0.8187215302277582,0.8187215302277582,0.9267130358957129,0,0.6009918990111924,0.3298043423322029
512,20,blocker_zero,512,20,0,1,0.8781151297456287,0.9600265491209403,0.023177478580171357,0.61735912886031,0.34764213369603386
512,20,fixed_topL_zero,491.0881940144479,20,0,1,0.8743999594669909,0.9582928029909094,0.024415868673050616,0.6171652791601072,0.3478595652576391
512,100,balanced_cert,512,25.448883406266084,0.0018575851393188853,0.8181023351813186,0.8181023351813186,0.9266511163910689,0,0.6009918990111924,0.3684402611194067
512,100,balanced_zero,512,100,0,1,0.8781151297456287,0.9600265491209403,0.023177478580171357,0.61735912886031,0.5179917007102228
512,100,blocker_cert,512,26.0292771791159,0.0018575851393188853,0.8187215302277582,0.8187215302277582,0.9267130358957129,0,0.6009918990111924,0.37207307848427446
512,100,blocker_zero,512,100,0,1,0.8781151297456287,0.9600265491209403,0.023177478580171357,0.61735912886031,0.517829670430652
512,100,fixed_topL_zero,491.0881940144479,100,0,1,0.8743999594669909,0.9582928029909094,0.024415868673050616,0.6171652791601072,0.5179965308933685
1024,20,balanced_cert,1024,17.196459894987505,0.0006191950464396285,0.8968673370613035,0.8968673370613035,0.963085675581262,0,0.609536292286589,0.3368479987623858
1024,20,balanced_zero,1024,20,0,1,0.9208309640189545,0.9751249136673573,0.016081503347973217,0.6176631493007746,0.3495987267274508
1024,20,blocker_cert,1024,17.32831742679392,0.0006191950464396285,0.9012377074316739,0.9012377074316739,0.9643878288973688,0,0.6097823615839053,0.3380986661005555
1024,20,blocker_zero,1024,20,0,1,0.9254821268096523,0.9755900299464271,0.016081503347973217,0.6176631493007746,0.34951312147520947
1024,20,fixed_topL_zero,973.1888338493292,20,0,1,0.9164491270736501,0.9722671221296897,0.019177478580171357,0.6176624054136324,0.34938763750707363
1024,100,balanced_cert,1024,33.16957219542244,0.0006191950464396285,0.8968673370613035,0.8968673370613035,0.963085675581262,0,0.609536292286589,0.3946055433049718
1024,100,balanced_zero,1024,100,0,1,0.9208309640189545,0.9751249136673573,0.016081503347973217,0.6176631493007746,0.5207110984534127
1024,100,blocker_cert,1024,34.709377066316804,0.0006191950464396285,0.9012377074316739,0.9012377074316739,0.9643878288973688,0,0.6097823615839053,0.40051799734852805
