dataset,query_id,budget,cap,method,dense_depth,sparse_depth,actual_reads,candidates,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
msmarco-passage-trec-dl-2019,156493,1024,100,blocker_zero,704,320,1024,761,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,1024,20,blocker_cert,704,320,1024,761,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,1024,100,blocker_cert,704,320,1024,761,88,0,1,1,1.0,0,0.8865613677260855,0.5939849624060151
msmarco-passage-trec-dl-2019,156493,2048,20,fixed_topL_zero,1024,1024,2048,1371,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,2048,100,fixed_topL_zero,1024,1024,2048,1371,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,2048,20,balanced_zero,1024,1024,2048,1371,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,2048,100,balanced_zero,1024,1024,2048,1371,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,2048,20,balanced_cert,1024,1024,2048,1371,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,2048,100,balanced_cert,1024,1024,2048,1371,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,2048,20,blocker_zero,1024,1024,2048,1371,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,2048,100,blocker_zero,1024,1024,2048,1371,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,2048,20,blocker_cert,1024,1024,2048,1371,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,2048,100,blocker_cert,1024,1024,2048,1371,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,4096,20,fixed_topL_zero,2048,2048,4096,3137,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,4096,100,fixed_topL_zero,2048,2048,4096,3137,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,4096,20,balanced_zero,2048,2048,4096,3137,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,4096,100,balanced_zero,2048,2048,4096,3137,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,4096,20,balanced_cert,2048,2048,4096,3137,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,4096,100,balanced_cert,2048,2048,4096,3137,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,4096,20,blocker_zero,2048,2048,4096,3137,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,4096,100,blocker_zero,2048,2048,4096,3137,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,4096,20,blocker_cert,2048,2048,4096,3137,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,4096,100,blocker_cert,2048,2048,4096,3137,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,8192,20,fixed_topL_zero,4096,4096,8192,7001,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,8192,100,fixed_topL_zero,4096,4096,8192,7001,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,8192,20,balanced_zero,4096,4096,8192,7001,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,8192,100,balanced_zero,4096,4096,8192,7001,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,8192,20,balanced_cert,4096,4096,8192,7001,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,8192,100,balanced_cert,4096,4096,8192,7001,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,8192,20,blocker_zero,4096,4096,8192,7001,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,8192,100,blocker_zero,4096,4096,8192,7001,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,8192,20,blocker_cert,4096,4096,8192,7001,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,8192,100,blocker_cert,4096,4096,8192,7001,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,10000,20,fixed_topL_zero,5000,5000,10000,8726,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,10000,100,fixed_topL_zero,5000,5000,10000,8726,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,10000,20,balanced_zero,5000,5000,10000,8726,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,10000,100,balanced_zero,5000,5000,10000,8726,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,10000,20,balanced_cert,5000,5000,10000,8726,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,10000,100,balanced_cert,5000,5000,10000,8726,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,10000,20,blocker_zero,5000,5000,10000,8726,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,10000,100,blocker_zero,5000,5000,10000,8726,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,156493,10000,20,blocker_cert,5000,5000,10000,8726,20,0,1,1,1.0,0,0.8865613677260855,0.15037593984962405
msmarco-passage-trec-dl-2019,156493,10000,100,blocker_cert,5000,5000,10000,8726,100,0,1,1,1.0,0,0.8865613677260855,0.6466165413533834
msmarco-passage-trec-dl-2019,1110199,128,20,fixed_topL_zero,64,64,128,124,20,0,1,0,0.4,0,0.5391982264210397,0.2857142857142857
msmarco-passage-trec-dl-2019,1110199,128,100,fixed_topL_zero,64,64,128,124,100,0,1,0,0.4,0,0.5391982264210397,0.4
