dataset,policy,work_budget,queries,mean_certified_k_cap100,median_certified_k_cap100,certified_at_least_10_rate,certified_at_least_20_rate,certified_at_least_100_rate,mean_ndcg_retention,mean_recall_retention,mean_dense_work_share,mean_absolute_depth_gap,p90_absolute_depth_gap
msmarco-passage-trec-dl-2019,balanced,128,43,9.953488372093023,9.0,0.4418604651162791,0.09302325581395349,0.0,0.8687869651524709,0.26586750454732494,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,256,43,17.0,17.0,0.6976744186046512,0.46511627906976744,0.0,0.9344785984019076,0.38208577697377205,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,512,43,27.53488372093023,25.0,0.8372093023255814,0.5813953488372093,0.0,0.9727966161393465,0.5100032808965462,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,1024,43,35.2093023255814,30.0,0.8837209302325582,0.6511627906976745,0.046511627906976744,0.9852829636053022,0.5884893192225131,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,2048,43,41.86046511627907,33.0,0.9302325581395349,0.7674418604651163,0.11627906976744186,0.9896539311236169,0.6464758495308592,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,4096,43,48.41860465116279,37.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9961835169112014,0.7088056314911977,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,8192,43,53.2093023255814,44.0,0.9534883720930233,0.813953488372093,0.20930232558139536,0.9961835169112014,0.749273135513305,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,balanced,10000,43,55.72093023255814,45.0,0.9534883720930233,0.813953488372093,0.2558139534883721,0.9981443130566873,0.7716415051927212,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,blocker,128,43,10.069767441860465,9.0,0.4418604651162791,0.11627906976744186,0.0,0.8687869651524709,0.2686159189236463,0.502906976744186,3.7209302325581395,25.600000000000136
msmarco-passage-trec-dl-2019,blocker,256,43,17.906976744186046,18.0,0.6976744186046512,0.46511627906976744,0.0,0.9344785984019076,0.39132453492640584,0.5218023255813954,24.558139534883722,57.600000000000136
msmarco-passage-trec-dl-2019,blocker,512,43,29.3953488372093,26.0,0.8372093023255814,0.6046511627906976,0.0,0.9727966161393465,0.5312786680862034,0.5370639534883721,75.16279069767442,160.0
msmarco-passage-trec-dl-2019,blocker,1024,43,37.627906976744185,30.0,0.8837209302325582,0.6744186046511628,0.06976744186046512,0.9852829636053022,0.6077019886263352,0.5563226744186046,250.7906976744186,512.0
msmarco-passage-trec-dl-2019,blocker,2048,43,46.13953488372093,34.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9896539311236169,0.6836085621526211,0.5588662790697675,654.8837209302326,1312.0
msmarco-passage-trec-dl-2019,blocker,4096,43,51.116279069767444,40.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9961835169112014,0.7322652241739982,0.573219476744186,1604.4651162790697,3264.0
msmarco-passage-trec-dl-2019,blocker,8192,43,55.44186046511628,44.0,0.9534883720930233,0.813953488372093,0.23255813953488372,0.9961835169112014,0.7687277522789683,0.512718023255814,1049.3023255813953,1808.0
msmarco-passage-trec-dl-2019,blocker,10000,43,55.72093023255814,45.0,0.9534883720930233,0.813953488372093,0.2558139534883721,0.9981443130566873,0.7716415051927212,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,candidate,128,43,10.0,9.0,0.4418604651162791,0.11627906976744186,0.0,0.8483756408768488,0.2627432386323614,0.4883720930232558,11.906976744186046,32.0
msmarco-passage-trec-dl-2019,candidate,256,43,17.767441860465116,18.0,0.6976744186046512,0.46511627906976744,0.0,0.9199842282696626,0.38098861761374436,0.5072674418604651,42.41860465116279,64.0
msmarco-passage-trec-dl-2019,candidate,512,43,29.325581395348838,26.0,0.8372093023255814,0.6046511627906976,0.0,0.9661440480344926,0.530384213703377,0.5218023255813954,107.16279069767442,224.0
msmarco-passage-trec-dl-2019,candidate,1024,43,37.53488372093023,30.0,0.8837209302325582,0.6744186046511628,0.06976744186046512,0.9760969886953841,0.6057789117032583,0.5257994186046512,313.30232558139534,665.6000000000001
msmarco-passage-trec-dl-2019,candidate,2048,43,45.883720930232556,34.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9760969886953841,0.680107036318674,0.5225290697674418,802.2325581395348,1548.8000000000004
msmarco-passage-trec-dl-2019,candidate,4096,43,50.55813953488372,39.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9826265744829688,0.7244680954955715,0.5352470930232558,2036.093023255814,3596.8
msmarco-passage-trec-dl-2019,candidate,8192,43,55.25581395348837,43.0,0.9534883720930233,0.813953488372093,0.23255813953488372,0.9961835169112014,0.7661437729508028,0.5155795784883721,1180.2790697674418,1808.0
msmarco-passage-trec-dl-2019,candidate,10000,43,55.72093023255814,45.0,0.9534883720930233,0.813953488372093,0.2558139534883721,0.9981443130566873,0.7716415051927212,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,pressure,128,43,10.069767441860465,9.0,0.4418604651162791,0.11627906976744186,0.0,0.8687869651524709,0.2686159189236463,0.49709302325581395,2.2325581395348837,0.0
msmarco-passage-trec-dl-2019,pressure,256,43,17.906976744186046,18.0,0.6976744186046512,0.46511627906976744,0.0,0.9344785984019076,0.39132453492640584,0.5130813953488372,18.6046511627907,32.0
msmarco-passage-trec-dl-2019,pressure,512,43,29.3953488372093,26.0,0.8372093023255814,0.6046511627906976,0.0,0.9727966161393465,0.5312786680862034,0.5348837209302325,66.97674418604652,160.0
msmarco-passage-trec-dl-2019,pressure,1024,43,37.627906976744185,30.0,0.8837209302325582,0.6744186046511628,0.06976744186046512,0.9852829636053022,0.6077019886263352,0.5523255813953488,230.69767441860466,512.0
msmarco-passage-trec-dl-2019,pressure,2048,43,46.116279069767444,34.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9896539311236169,0.6836085621526211,0.5566860465116279,589.3953488372093,1280.0
msmarco-passage-trec-dl-2019,pressure,4096,43,51.116279069767444,40.0,0.9302325581395349,0.7906976744186046,0.16279069767441862,0.9961835169112014,0.7322652241739982,0.5699491279069767,1466.046511627907,3257.6000000000004
msmarco-passage-trec-dl-2019,pressure,8192,43,55.44186046511628,44.0,0.9534883720930233,0.813953488372093,0.23255813953488372,0.9961835169112014,0.7687277522789683,0.5130813953488372,1041.1162790697674,1808.0
msmarco-passage-trec-dl-2019,pressure,10000,43,55.72093023255814,45.0,0.9534883720930233,0.813953488372093,0.2558139534883721,0.9981443130566873,0.7716415051927212,0.5,0.0,0.0
msmarco-passage-trec-dl-2019,allocation-grid-oracle,128,43,10.069767441860465,9.0,0.4418604651162791,0.11627906976744186,0.0,0.8687869651524709,0.2686159189236463,0.502906976744186,3.7209302325581395,25.600000000000136
msmarco-passage-trec-dl-2019,allocation-grid-oracle,256,43,17.906976744186046,18.0,0.6976744186046512,0.46511627906976744,0.0,0.9344785984019076,0.39132453492640584,0.5218023255813954,26.046511627906977,57.600000000000136
msmarco-passage-trec-dl-2019,allocation-grid-oracle,512,43,29.3953488372093,26.0,0.8372093023255814,0.6046511627906976,0.0,0.9727966161393465,0.5312786680862034,0.5363372093023255,74.4186046511628,160.0
