dataset,query_id,repetition,policy,seconds,calls,k100
msmarco-passage-trec-dl-2019,1133167,2,grouped-handoff64,0.009028166881762445,430,82
msmarco-passage-trec-dl-2019,1133167,2,array-blocker64,0.006108875153586268,33,82
msmarco-passage-trec-dl-2019,156493,0,grouped-handoff64,0.00670741603244096,325,100
msmarco-passage-trec-dl-2019,156493,0,array-blocker64,0.004431583103723824,21,100
msmarco-passage-trec-dl-2019,156493,0,array-unit,0.24644020898267627,1224,100
msmarco-passage-trec-dl-2019,156493,0,grouped-blocker64,0.0019194569904357195,21,100
msmarco-passage-trec-dl-2019,156493,0,grouped-unit,0.009050165070220828,1224,100
msmarco-passage-trec-dl-2019,156493,1,array-blocker64,0.0043870838126167655,21,100
msmarco-passage-trec-dl-2019,156493,1,array-unit,0.2469609979307279,1224,100
msmarco-passage-trec-dl-2019,156493,1,grouped-blocker64,0.0017495420761406422,21,100
msmarco-passage-trec-dl-2019,156493,1,grouped-unit,0.008897167048417032,1224,100
msmarco-passage-trec-dl-2019,156493,1,grouped-handoff64,0.006961915991269052,325,100
msmarco-passage-trec-dl-2019,156493,2,array-unit,0.24815354100428522,1224,100
msmarco-passage-trec-dl-2019,156493,2,grouped-blocker64,0.0019157917704433203,21,100
msmarco-passage-trec-dl-2019,156493,2,grouped-unit,0.009188457857817411,1224,100
msmarco-passage-trec-dl-2019,156493,2,grouped-handoff64,0.006852290942333639,325,100
msmarco-passage-trec-dl-2019,156493,2,array-blocker64,0.004056167206726968,21,100
msmarco-passage-trec-dl-2019,87452,0,grouped-unit,0.01517812511883676,2049,47
msmarco-passage-trec-dl-2019,87452,0,grouped-handoff64,0.01596379093825817,831,47
msmarco-passage-trec-dl-2019,87452,0,array-blocker64,0.00594529090449214,33,47
msmarco-passage-trec-dl-2019,87452,0,array-unit,0.35213633405510336,2049,47
msmarco-passage-trec-dl-2019,87452,0,grouped-blocker64,0.0026435009203851223,33,47
msmarco-passage-trec-dl-2019,87452,1,grouped-handoff64,0.01573020708747208,831,47
msmarco-passage-trec-dl-2019,87452,1,array-blocker64,0.005885791149921715,33,47
msmarco-passage-trec-dl-2019,87452,1,array-unit,0.3548272921470925,2049,47
msmarco-passage-trec-dl-2019,87452,1,grouped-blocker64,0.0024188330862671137,33,47
msmarco-passage-trec-dl-2019,87452,1,grouped-unit,0.015225958894006908,2049,47
msmarco-passage-trec-dl-2019,87452,2,array-blocker64,0.006006209994666278,33,47
msmarco-passage-trec-dl-2019,87452,2,array-unit,0.35170908307190984,2049,47
msmarco-passage-trec-dl-2019,87452,2,grouped-blocker64,0.0024686239194124937,33,47
msmarco-passage-trec-dl-2019,87452,2,grouped-unit,0.015083792037330568,2049,47
msmarco-passage-trec-dl-2019,87452,2,grouped-handoff64,0.01524800097104162,831,47
msmarco-passage-trec-dl-2019,1112341,0,array-unit,0.28435883193742484,2049,24
msmarco-passage-trec-dl-2019,1112341,0,grouped-blocker64,0.0023155008675530553,33,24
msmarco-passage-trec-dl-2019,1112341,0,grouped-unit,0.014727290836162865,2049,24
msmarco-passage-trec-dl-2019,1112341,0,grouped-handoff64,0.019963458878919482,1116,24
msmarco-passage-trec-dl-2019,1112341,0,array-blocker64,0.004836041014641523,33,24
msmarco-passage-trec-dl-2019,1112341,1,grouped-blocker64,0.0022364159813150764,33,24
msmarco-passage-trec-dl-2019,1112341,1,grouped-unit,0.014548708102665842,2049,24
msmarco-passage-trec-dl-2019,1112341,1,grouped-handoff64,0.019912875024601817,1116,24
msmarco-passage-trec-dl-2019,1112341,1,array-blocker64,0.004948916961438954,33,24
msmarco-passage-trec-dl-2019,1112341,1,array-unit,0.2840490840608254,2049,24
msmarco-passage-trec-dl-2019,1112341,2,grouped-unit,0.014784167055040598,2049,24
msmarco-passage-trec-dl-2019,1112341,2,grouped-handoff64,0.019856708007864654,1116,24
msmarco-passage-trec-dl-2019,1112341,2,array-blocker64,0.004842083086259663,33,24
msmarco-passage-trec-dl-2019,1112341,2,array-unit,0.2832444179803133,2049,24
msmarco-passage-trec-dl-2019,1112341,2,grouped-blocker64,0.002322790096513927,33,24
msmarco-passage-trec-dl-2019,168216,0,grouped-handoff64,0.005337375099770725,278,100
msmarco-passage-trec-dl-2019,168216,0,array-blocker64,0.0019483340438455343,11,100
msmarco-passage-trec-dl-2019,168216,0,array-unit,0.10042224987410009,606,100
msmarco-passage-trec-dl-2019,168216,0,grouped-blocker64,0.0011907932348549366,11,100
msmarco-passage-trec-dl-2019,168216,0,grouped-unit,0.004523332929238677,606,100
msmarco-passage-trec-dl-2019,168216,1,array-blocker64,0.0019079979974776506,11,100
msmarco-passage-trec-dl-2019,168216,1,array-unit,0.10035779094323516,606,100
msmarco-passage-trec-dl-2019,168216,1,grouped-blocker64,0.0012883751187473536,11,100
msmarco-passage-trec-dl-2019,168216,1,grouped-unit,0.004571168101392686,606,100
msmarco-passage-trec-dl-2019,168216,1,grouped-handoff64,0.005323583027347922,278,100
msmarco-passage-trec-dl-2019,168216,2,array-unit,0.1008080008905381,606,100
msmarco-passage-trec-dl-2019,168216,2,grouped-blocker64,0.001171208918094635,11,100
msmarco-passage-trec-dl-2019,168216,2,grouped-unit,0.004555457271635532,606,100
msmarco-passage-trec-dl-2019,168216,2,grouped-handoff64,0.0053296678233891726,278,100
msmarco-passage-trec-dl-2019,168216,2,array-blocker64,0.0018735829507932067,11,100
msmarco-passage-trec-dl-2019,1103812,0,grouped-unit,0.014735249918885529,2049,13
msmarco-passage-trec-dl-2019,1103812,0,grouped-handoff64,0.022719500120729208,1285,13
msmarco-passage-trec-dl-2019,1103812,0,array-blocker64,0.0042927078902721405,33,13
msmarco-passage-trec-dl-2019,1103812,0,array-unit,0.24965574906673282,2049,13
msmarco-passage-trec-dl-2019,1103812,0,grouped-blocker64,0.0022757911356166005,33,13
msmarco-passage-trec-dl-2019,1103812,1,grouped-handoff64,0.02263587585184723,1285,13
msmarco-passage-trec-dl-2019,1103812,1,array-blocker64,0.004314750200137496,33,13
msmarco-passage-trec-dl-2019,1103812,1,array-unit,0.25067591795232147,2049,13
msmarco-passage-trec-dl-2019,1103812,1,grouped-blocker64,0.0022474159486591816,33,13
msmarco-passage-trec-dl-2019,1103812,1,grouped-unit,0.014562334050424397,2049,13
msmarco-passage-trec-dl-2019,1103812,2,array-blocker64,0.004031332908198237,33,13
msmarco-passage-trec-dl-2019,1103812,2,array-unit,0.2499450839823112,2049,13
msmarco-passage-trec-dl-2019,1103812,2,grouped-blocker64,0.002301833010278642,33,13
msmarco-passage-trec-dl-2019,1103812,2,grouped-unit,0.01451858296059072,2049,13
msmarco-passage-trec-dl-2019,1103812,2,grouped-handoff64,0.022490125033073127,1285,13
msmarco-passage-trec-dl-2020,1109707,0,array-blocker64,0.005651374813169241,33,40
msmarco-passage-trec-dl-2020,1109707,0,array-unit,0.32634925097227097,2049,41
msmarco-passage-trec-dl-2020,1109707,0,grouped-blocker64,0.0024824568536132574,33,40
msmarco-passage-trec-dl-2020,1109707,0,grouped-unit,0.014777709147892892,2049,41
msmarco-passage-trec-dl-2020,1109707,0,grouped-handoff64,0.02025499998126179,1148,41
msmarco-passage-trec-dl-2020,1109707,1,array-unit,0.32576379203237593,2049,41
msmarco-passage-trec-dl-2020,1109707,1,grouped-blocker64,0.002529666293412447,33,40
msmarco-passage-trec-dl-2020,1109707,1,grouped-unit,0.015106875100173056,2049,41
msmarco-passage-trec-dl-2020,1109707,1,grouped-handoff64,0.020858334028162062,1148,41
msmarco-passage-trec-dl-2020,1109707,1,array-blocker64,0.005680375033989549,33,40
msmarco-passage-trec-dl-2020,1109707,2,grouped-blocker64,0.0022708751494064927,33,40
msmarco-passage-trec-dl-2020,1109707,2,grouped-unit,0.014868457801640034,2049,41
msmarco-passage-trec-dl-2020,1109707,2,grouped-handoff64,0.02047050092369318,1148,41
msmarco-passage-trec-dl-2020,1109707,2,array-blocker64,0.005263958009891212,33,40
msmarco-passage-trec-dl-2020,1109707,2,array-unit,0.32706154207699,2049,41
msmarco-passage-trec-dl-2020,390360,0,grouped-handoff64,0.014939000946469605,808,14
msmarco-passage-trec-dl-2020,390360,0,array-blocker64,0.004721750156022608,33,14
msmarco-passage-trec-dl-2020,390360,0,array-unit,0.2675579600036144,2049,14
msmarco-passage-trec-dl-2020,390360,0,grouped-blocker64,0.0021712081506848335,33,14
msmarco-passage-trec-dl-2020,390360,0,grouped-unit,0.014934459119103849,2049,14
msmarco-passage-trec-dl-2020,390360,1,array-blocker64,0.004427834181115031,33,14
msmarco-passage-trec-dl-2020,390360,1,array-unit,0.2683479990810156,2049,14
msmarco-passage-trec-dl-2020,390360,1,grouped-blocker64,0.0022832920076325536,33,14
msmarco-passage-trec-dl-2020,390360,1,grouped-unit,0.014343626098707318,2049,14
msmarco-passage-trec-dl-2020,390360,1,grouped-handoff64,0.015072542009875178,808,14
msmarco-passage-trec-dl-2020,390360,2,array-unit,0.26898429286666214,2049,14
msmarco-passage-trec-dl-2020,390360,2,grouped-blocker64,0.0022894159192219377,33,14
msmarco-passage-trec-dl-2020,390360,2,grouped-unit,0.01448637607973069,2049,14
msmarco-passage-trec-dl-2020,390360,2,grouped-handoff64,0.0149713329738006,808,14
msmarco-passage-trec-dl-2020,390360,2,array-blocker64,0.00470891606528312,33,14
msmarco-passage-trec-dl-2020,1121353,0,grouped-handoff64,0.023789084050804377,1335,17
msmarco-passage-trec-dl-2020,1121353,0,array-blocker64,0.004484290024265647,33,17
msmarco-passage-trec-dl-2020,1121353,0,array-unit,0.258919624844566,2049,17
msmarco-passage-trec-dl-2020,1121353,0,grouped-blocker64,0.002113708993420005,33,17
msmarco-passage-trec-dl-2020,1121353,0,grouped-unit,0.014559501083567739,2049,17
msmarco-passage-trec-dl-2020,1121353,1,array-blocker64,0.004597625927999616,33,17
msmarco-passage-trec-dl-2020,1121353,1,array-unit,0.2603168321074918,2049,17
msmarco-passage-trec-dl-2020,1121353,1,grouped-blocker64,0.002425750019028783,33,17
msmarco-passage-trec-dl-2020,1121353,1,grouped-unit,0.014593917992897332,2049,17
msmarco-passage-trec-dl-2020,1121353,1,grouped-handoff64,0.023522790987044573,1335,17
msmarco-passage-trec-dl-2020,1121353,2,array-unit,0.25717720796819776,2049,17
msmarco-passage-trec-dl-2020,1121353,2,grouped-blocker64,0.0022052080603316426,33,17
msmarco-passage-trec-dl-2020,1121353,2,grouped-unit,0.014646997908130288,2049,17
msmarco-passage-trec-dl-2020,1121353,2,grouped-handoff64,0.02379504218697548,1335,17
msmarco-passage-trec-dl-2020,1121353,2,array-blocker64,0.004612834076397121,33,17
msmarco-passage-trec-dl-2020,1122767,0,array-unit,0.36070050089620054,2049,44
msmarco-passage-trec-dl-2020,1122767,0,grouped-blocker64,0.002527083153836429,33,44
msmarco-passage-trec-dl-2020,1122767,0,grouped-unit,0.015040460042655468,2049,44
msmarco-passage-trec-dl-2020,1122767,0,grouped-handoff64,0.0283489580033347,1605,44
msmarco-passage-trec-dl-2020,1122767,0,array-blocker64,0.006148374755866826,33,44
