dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,1133167,grouped-unit,256,256,137,119,12,257,0.001514666946604848
msmarco-passage-trec-dl-2019,1133167,grouped-unit,512,512,256,256,26,513,0.003219249891117215
msmarco-passage-trec-dl-2019,1133167,grouped-unit,1024,1024,340,684,39,1025,0.0069114998914301395
msmarco-passage-trec-dl-2019,1133167,grouped-unit,2048,2048,961,1087,82,2049,0.014990291791036725
msmarco-passage-trec-dl-2019,1133167,grouped-blocker64,128,128,64,64,6,3,0.00015408394392579794
msmarco-passage-trec-dl-2019,1133167,grouped-blocker64,256,256,128,128,11,5,0.0003010840155184269
msmarco-passage-trec-dl-2019,1133167,grouped-blocker64,512,512,256,256,26,9,0.0006138340104371309
msmarco-passage-trec-dl-2019,1133167,grouped-blocker64,1024,1024,384,640,39,17,0.001217916957102716
msmarco-passage-trec-dl-2019,1133167,grouped-blocker64,2048,2048,960,1088,82,33,0.0025059999898076057
msmarco-passage-trec-dl-2019,1133167,grouped-handoff64,128,128,64,64,6,10,0.000228708959184587
msmarco-passage-trec-dl-2019,1133167,grouped-handoff64,256,256,137,119,12,120,0.001934958971105516
msmarco-passage-trec-dl-2019,1133167,grouped-handoff64,512,512,256,256,26,267,0.004634417011402547
msmarco-passage-trec-dl-2019,1133167,grouped-handoff64,1024,1024,341,683,39,392,0.007067208061926067
msmarco-passage-trec-dl-2019,1133167,grouped-handoff64,2048,2048,946,1102,82,430,0.008957416051998734
msmarco-passage-trec-dl-2019,156493,grouped-unit,128,128,56,72,18,129,0.0008855839259922504
msmarco-passage-trec-dl-2019,156493,grouped-unit,256,256,99,157,25,257,0.0016478339675813913
msmarco-passage-trec-dl-2019,156493,grouped-unit,512,512,327,185,67,513,0.0034300419501960278
msmarco-passage-trec-dl-2019,156493,grouped-unit,1024,1024,695,329,88,1025,0.007080417010001838
msmarco-passage-trec-dl-2019,156493,grouped-unit,2048,1223,799,424,100,1224,0.008491417043842375
msmarco-passage-trec-dl-2019,156493,grouped-blocker64,128,128,64,64,18,3,0.00020229106303304434
msmarco-passage-trec-dl-2019,156493,grouped-blocker64,256,256,128,128,24,5,0.00034266605507582426
msmarco-passage-trec-dl-2019,156493,grouped-blocker64,512,512,320,192,66,9,0.0008013329934328794
msmarco-passage-trec-dl-2019,156493,grouped-blocker64,1024,1024,704,320,88,17,0.0013905410887673497
msmarco-passage-trec-dl-2019,156493,grouped-blocker64,2048,1280,832,448,100,21,0.0016890830593183637
msmarco-passage-trec-dl-2019,156493,grouped-handoff64,128,128,56,72,18,10,0.00029791693668812513
msmarco-passage-trec-dl-2019,156493,grouped-handoff64,256,256,99,157,25,100,0.0016916670138016343
msmarco-passage-trec-dl-2019,156493,grouped-handoff64,512,512,327,185,67,153,0.0029377080500125885
msmarco-passage-trec-dl-2019,156493,grouped-handoff64,1024,1024,699,325,88,265,0.00525700009893626
msmarco-passage-trec-dl-2019,156493,grouped-handoff64,2048,1226,799,427,100,325,0.006507542100735009
msmarco-passage-trec-dl-2019,87452,grouped-unit,128,128,62,66,14,129,0.0008038330124691129
msmarco-passage-trec-dl-2019,87452,grouped-unit,256,256,144,112,24,257,0.0017129170009866357
msmarco-passage-trec-dl-2019,87452,grouped-unit,512,512,278,234,28,513,0.0035545839928090572
msmarco-passage-trec-dl-2019,87452,grouped-unit,1024,1024,616,408,35,1025,0.007364209042862058
msmarco-passage-trec-dl-2019,87452,grouped-unit,2048,2048,791,1257,47,2049,0.014883375028148293
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,128,128,64,64,14,3,0.00017487502191215754
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,256,256,128,128,24,5,0.0003411659272387624
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,512,512,256,256,26,9,0.0005838319193571806
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,1024,1024,576,448,33,17,0.0010816659778356552
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,2048,2048,832,1216,47,33,0.0021897489205002785
msmarco-passage-trec-dl-2019,87452,grouped-handoff64,128,128,64,64,14,5,0.0002131670480594039
msmarco-passage-trec-dl-2019,87452,grouped-handoff64,256,256,144,112,24,98,0.0018436671234667301
msmarco-passage-trec-dl-2019,87452,grouped-handoff64,512,512,278,234,28,307,0.0052858751732856035
msmarco-passage-trec-dl-2019,87452,grouped-handoff64,1024,1024,616,408,35,658,0.011548958136700094
msmarco-passage-trec-dl-2019,87452,grouped-handoff64,2048,2048,791,1257,47,831,0.015482249204069376
msmarco-passage-trec-dl-2019,1112341,grouped-unit,128,128,63,65,8,129,0.0007712920196354389
msmarco-passage-trec-dl-2019,1112341,grouped-unit,256,256,133,123,10,257,0.0015682510565966368
msmarco-passage-trec-dl-2019,1112341,grouped-unit,512,512,294,218,16,513,0.0032905840780586004
msmarco-passage-trec-dl-2019,1112341,grouped-unit,1024,1024,632,392,19,1025,0.006926584057509899
msmarco-passage-trec-dl-2019,1112341,grouped-unit,2048,2048,1336,712,24,2049,0.0146017090883106
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,128,128,64,64,7,3,0.00015712506137788296
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,256,256,128,128,10,5,0.0003015421098098159
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,512,512,256,256,14,9,0.0005764170782640576
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,1024,1024,640,384,19,17,0.0011187500786036253
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,2048,2048,1344,704,24,33,0.0022361670853570104
msmarco-passage-trec-dl-2019,1112341,grouped-handoff64,128,128,63,65,8,6,0.00018158298917114735
msmarco-passage-trec-dl-2019,1112341,grouped-handoff64,256,256,133,123,10,123,0.0019129160791635513
msmarco-passage-trec-dl-2019,1112341,grouped-handoff64,512,512,294,218,16,316,0.0050609580939635634
msmarco-passage-trec-dl-2019,1112341,grouped-handoff64,1024,1024,632,392,19,667,0.011271999101154506
msmarco-passage-trec-dl-2019,1112341,grouped-handoff64,2048,2048,1339,709,24,1116,0.019561374094337225
msmarco-passage-trec-dl-2019,168216,grouped-unit,128,128,64,64,9,129,0.0007936250185593963
msmarco-passage-trec-dl-2019,168216,grouped-unit,256,256,127,129,29,257,0.0016799590084701777
msmarco-passage-trec-dl-2019,168216,grouped-unit,512,512,298,214,89,513,0.0037107509560883045
msmarco-passage-trec-dl-2019,168216,grouped-unit,1024,605,350,255,100,606,0.0043409590143710375
msmarco-passage-trec-dl-2019,168216,grouped-unit,2048,605,350,255,100,606,0.004341167048551142
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,128,128,64,64,9,3,0.0001528329448774457
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,256,256,128,128,24,5,0.00035116588696837425
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,512,512,320,192,86,9,0.0008631659438833594
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,1024,640,384,256,100,11,0.0010335819097235799
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,2048,640,384,256,100,11,0.001033747917972505
msmarco-passage-trec-dl-2019,168216,grouped-handoff64,128,128,64,64,9,4,0.00018137495499104261
msmarco-passage-trec-dl-2019,168216,grouped-handoff64,256,256,127,129,29,79,0.0014862909447401762
msmarco-passage-trec-dl-2019,168216,grouped-handoff64,512,512,298,214,89,216,0.004022915964014828
msmarco-passage-trec-dl-2019,168216,grouped-handoff64,1024,605,350,255,100,278,0.005120499990880489
msmarco-passage-trec-dl-2019,168216,grouped-handoff64,2048,605,350,255,100,278,0.0051206659991294146
msmarco-passage-trec-dl-2019,1103812,grouped-unit,128,128,64,64,3,129,0.0007442500209435821
msmarco-passage-trec-dl-2019,1103812,grouped-unit,256,256,128,128,6,257,0.0015773340128362179
msmarco-passage-trec-dl-2019,1103812,grouped-unit,512,512,229,283,9,513,0.003309875028207898
msmarco-passage-trec-dl-2019,1103812,grouped-unit,1024,1024,426,598,12,1025,0.006816582987084985
msmarco-passage-trec-dl-2019,1103812,grouped-unit,2048,2048,731,1317,13,2049,0.014341917005367577
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,128,128,64,64,3,3,0.0001551660243421793
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,256,256,128,128,6,5,0.0003407079493626952
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,512,512,256,256,7,9,0.0006214160239323974
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,1024,1024,448,576,12,17,0.0011312490096315742
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,2048,2048,768,1280,13,33,0.002071665017865598
msmarco-passage-trec-dl-2019,1103812,grouped-handoff64,128,128,64,64,3,5,0.00015183305367827415
msmarco-passage-trec-dl-2019,1103812,grouped-handoff64,256,256,128,128,6,88,0.0014361671637743711
msmarco-passage-trec-dl-2019,1103812,grouped-handoff64,512,512,229,283,9,280,0.004473751178011298
msmarco-passage-trec-dl-2019,1103812,grouped-handoff64,1024,1024,426,598,12,674,0.011139210197143257
msmarco-passage-trec-dl-2019,1103812,grouped-handoff64,2048,2048,731,1317,13,1285,0.021921502193436027
msmarco-passage-trec-dl-2019,1114646,grouped-unit,128,128,70,58,14,129,0.0008137089898809791
msmarco-passage-trec-dl-2019,1114646,grouped-unit,256,256,141,115,24,257,0.0017397500341758132
msmarco-passage-trec-dl-2019,1114646,grouped-unit,512,512,226,286,29,513,0.0034795000683516264
msmarco-passage-trec-dl-2019,1114646,grouped-unit,1024,1024,336,688,32,1025,0.0069931671023368835
msmarco-passage-trec-dl-2019,1114646,grouped-unit,2048,2048,631,1417,33,2049,0.014375626109540462
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,128,128,64,64,12,3,0.00017125008162111044
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,256,256,128,128,23,5,0.00032583309803158045
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,512,512,256,256,29,9,0.0005955829983577132
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,1024,1024,320,704,32,17,0.0010540420189499855
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,2048,2048,640,1408,33,33,0.002106875996105373
msmarco-passage-trec-dl-2019,1114646,grouped-handoff64,128,128,64,64,12,12,0.0003059590235352516
msmarco-passage-trec-dl-2019,1114646,grouped-handoff64,256,256,141,115,24,117,0.0019554999889805913
msmarco-passage-trec-dl-2019,1114646,grouped-handoff64,512,512,226,286,29,240,0.00398995797149837
msmarco-passage-trec-dl-2019,1114646,grouped-handoff64,1024,1024,336,688,32,269,0.004807083052583039
msmarco-passage-trec-dl-2019,1114646,grouped-handoff64,2048,2048,631,1417,33,626,0.011752166086807847
msmarco-passage-trec-dl-2019,1129237,grouped-unit,128,128,53,75,12,129,0.0009414170635864139
msmarco-passage-trec-dl-2019,1129237,grouped-unit,256,256,103,153,16,257,0.0017105421284213662
msmarco-passage-trec-dl-2019,1129237,grouped-unit,512,512,186,326,23,513,0.0034010420786216855
msmarco-passage-trec-dl-2019,1129237,grouped-unit,1024,1024,304,720,25,1025,0.006978084100410342
msmarco-passage-trec-dl-2019,1129237,grouped-unit,2048,2048,425,1623,27,2049,0.01424379216041416
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,128,128,64,64,10,3,0.0001658749533817172
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,256,256,128,128,16,5,0.0003042089520022273
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,512,512,192,320,22,9,0.0005532919894903898
