dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,87452,grouped-unit,256,256,144,112,24,257,0.0017242080066353083
msmarco-passage-trec-dl-2019,87452,grouped-unit,512,512,278,234,28,513,0.0035286659840494394
msmarco-passage-trec-dl-2019,87452,grouped-unit,1024,1024,616,408,35,1025,0.007182749919593334
msmarco-passage-trec-dl-2019,87452,grouped-unit,2048,2048,791,1257,47,2049,0.014948541880585253
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,128,128,64,64,14,3,0.00020987505558878183
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,256,256,128,128,24,5,0.00038475007750093937
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,512,512,256,256,26,9,0.0006474590627476573
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,1024,1024,576,448,33,17,0.0011691260151565075
msmarco-passage-trec-dl-2019,87452,grouped-blocker64,2048,2048,832,1216,47,33,0.00232325098477304
msmarco-passage-trec-dl-2019,1112341,grouped-unit,128,128,63,65,8,129,0.0008267499506473541
msmarco-passage-trec-dl-2019,1112341,grouped-unit,256,256,133,123,10,257,0.0016747919144108891
msmarco-passage-trec-dl-2019,1112341,grouped-unit,512,512,294,218,16,513,0.003491166979074478
msmarco-passage-trec-dl-2019,1112341,grouped-unit,1024,1024,632,392,19,1025,0.007124084047973156
msmarco-passage-trec-dl-2019,1112341,grouped-unit,2048,2048,1336,712,24,2049,0.014818001072853804
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,128,128,64,64,7,3,0.0001557080540806055
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,256,256,128,128,10,5,0.00030087505001574755
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,512,512,256,256,14,9,0.0005571669898927212
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,1024,1024,640,384,19,17,0.0010629589669406414
msmarco-passage-trec-dl-2019,1112341,grouped-blocker64,2048,2048,1344,704,24,33,0.002144208992831409
msmarco-passage-trec-dl-2019,168216,grouped-unit,128,128,64,64,9,129,0.0008011249592527747
msmarco-passage-trec-dl-2019,168216,grouped-unit,256,256,127,129,29,257,0.0017009999137371778
msmarco-passage-trec-dl-2019,168216,grouped-unit,512,512,298,214,89,513,0.003821916878223419
msmarco-passage-trec-dl-2019,168216,grouped-unit,1024,605,350,255,100,606,0.004513749852776527
msmarco-passage-trec-dl-2019,168216,grouped-unit,2048,605,350,255,100,606,0.00451399979647249
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,128,128,64,64,9,3,0.00015829107724130154
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,256,256,128,128,24,5,0.00036999909207224846
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,512,512,320,192,86,9,0.0009322491241618991
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,1024,640,384,256,100,11,0.001135332160629332
msmarco-passage-trec-dl-2019,168216,grouped-blocker64,2048,640,384,256,100,11,0.001135540078394115
msmarco-passage-trec-dl-2019,1103812,grouped-unit,128,128,64,64,3,129,0.0007200000109151006
msmarco-passage-trec-dl-2019,1103812,grouped-unit,256,256,128,128,6,257,0.0015126250218600035
msmarco-passage-trec-dl-2019,1103812,grouped-unit,512,512,229,283,9,513,0.003264708095230162
msmarco-passage-trec-dl-2019,1103812,grouped-unit,1024,1024,426,598,12,1025,0.00679270806722343
msmarco-passage-trec-dl-2019,1103812,grouped-unit,2048,2048,731,1317,13,2049,0.014382166089490056
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,128,128,64,64,3,3,0.00011954200454056263
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,256,256,128,128,6,5,0.0002507920144125819
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,512,512,256,256,7,9,0.0004657920217141509
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,1024,1024,448,576,12,17,0.0009216249454766512
msmarco-passage-trec-dl-2019,1103812,grouped-blocker64,2048,2048,768,1280,13,33,0.0019195419736206532
msmarco-passage-trec-dl-2019,1114646,grouped-unit,128,128,70,58,14,129,0.000839291955344379
msmarco-passage-trec-dl-2019,1114646,grouped-unit,256,256,141,115,24,257,0.0017454579938203096
msmarco-passage-trec-dl-2019,1114646,grouped-unit,512,512,226,286,29,513,0.0034907920053228736
msmarco-passage-trec-dl-2019,1114646,grouped-unit,1024,1024,336,688,32,1025,0.0069807920372113585
msmarco-passage-trec-dl-2019,1114646,grouped-unit,2048,2048,631,1417,33,2049,0.01451641705352813
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,128,128,64,64,12,3,0.00019408308435231447
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,256,256,128,128,23,5,0.00041920808143913746
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,512,512,256,256,29,9,0.0006902080494910479
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,1024,1024,320,704,32,17,0.0011581240687519312
msmarco-passage-trec-dl-2019,1114646,grouped-blocker64,2048,2048,640,1408,33,33,0.002090248977765441
msmarco-passage-trec-dl-2019,1129237,grouped-unit,128,128,53,75,12,129,0.0008039170643314719
msmarco-passage-trec-dl-2019,1129237,grouped-unit,256,256,103,153,16,257,0.0016320841386914253
msmarco-passage-trec-dl-2019,1129237,grouped-unit,512,512,186,326,23,513,0.0033985840855166316
msmarco-passage-trec-dl-2019,1129237,grouped-unit,1024,1024,304,720,25,1025,0.006973667070269585
msmarco-passage-trec-dl-2019,1129237,grouped-unit,2048,2048,425,1623,27,2049,0.014484875020571053
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,128,128,64,64,10,3,0.00018145795911550522
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,256,256,128,128,16,5,0.000328000052832067
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,512,512,192,320,22,9,0.0006139171309769154
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,1024,1024,320,704,25,17,0.0011564171873033047
msmarco-passage-trec-dl-2019,1129237,grouped-blocker64,2048,2048,448,1600,27,33,0.002179708215408027
msmarco-passage-trec-dl-2019,489204,grouped-unit,128,128,60,68,4,129,0.0007395000429823995
msmarco-passage-trec-dl-2019,489204,grouped-unit,256,256,119,137,8,257,0.001576332957483828
msmarco-passage-trec-dl-2019,489204,grouped-unit,512,512,229,283,11,513,0.0032450419384986162
msmarco-passage-trec-dl-2019,489204,grouped-unit,1024,1024,388,636,22,1025,0.006857166881673038
msmarco-passage-trec-dl-2019,489204,grouped-unit,2048,2048,622,1426,26,2049,0.014554124907590449
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,128,128,64,64,4,3,0.0001264170277863741
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,256,256,128,128,7,5,0.0002657499862834811
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,512,512,256,256,10,9,0.0005228340160101652
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,1024,1024,384,640,22,17,0.0011401670053601265
msmarco-passage-trec-dl-2019,489204,grouped-blocker64,2048,2048,640,1408,26,33,0.002209458965808153
msmarco-passage-trec-dl-2019,146187,grouped-unit,128,128,66,62,16,129,0.0007736249826848507
msmarco-passage-trec-dl-2019,146187,grouped-unit,256,256,144,112,23,257,0.0016744999447837472
msmarco-passage-trec-dl-2019,146187,grouped-unit,512,512,305,207,34,513,0.003387332893908024
msmarco-passage-trec-dl-2019,146187,grouped-unit,1024,1024,378,646,56,1025,0.007105874828994274
