dataset,budget,cap,method,queries,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,2048,20,blocker_cert,30,2048,17.933333333333334,0,0.9333333333333333,0.9333333333333333,0.9766666666666667,0,0.6755800394929924,0.10037720884565106
trec-covid-chrono-r1,2048,20,blocker_zero,30,2048,20,0,1,1,1.0,0,0.6763514975145122,0.10553791788320774
trec-covid-chrono-r1,2048,20,fixed_topL_zero,30,2048,20,0,1,1,1.0,0,0.6763514975145122,0.10553791788320774
trec-covid-chrono-r1,2048,100,balanced_cert,30,2048,26.933333333333334,0,0.9333333333333333,0.9333333333333333,0.9766666666666667,0,0.6755800394929924,0.1417299126727498
trec-covid-chrono-r1,2048,100,balanced_zero,30,2048,100,0,1,1,1.0,0,0.6763514975145122,0.2782917147780092
trec-covid-chrono-r1,2048,100,blocker_cert,30,2048,29.133333333333333,0,0.9333333333333333,0.9333333333333333,0.9766666666666667,0,0.6755800394929924,0.1493779573127777
trec-covid-chrono-r1,2048,100,blocker_zero,30,2048,100,0,1,1,1.0,0,0.6763514975145122,0.27811068976652015
trec-covid-chrono-r1,2048,100,fixed_topL_zero,30,2048,100,0,1,1,1.0,0,0.6763514975145122,0.2782917147780092
trec-covid-chrono-r1,4096,20,balanced_cert,30,4096,18.733333333333334,0,0.9333333333333333,0.9333333333333333,0.9833333333333333,0,0.6755800394929924,0.10221861113057801
trec-covid-chrono-r1,4096,20,balanced_zero,30,4096,20,0,1,1,1.0,0,0.6763514975145122,0.10558714259910947
trec-covid-chrono-r1,4096,20,blocker_cert,30,4096,18.733333333333334,0,0.9333333333333333,0.9333333333333333,0.9833333333333333,0,0.6755800394929924,0.10221861113057801
trec-covid-chrono-r1,4096,20,blocker_zero,30,4096,20,0,1,1,1.0,0,0.6763514975145122,0.10558714259910947
trec-covid-chrono-r1,4096,20,fixed_topL_zero,30,4096,20,0,1,1,1.0,0,0.6763514975145122,0.10558714259910947
trec-covid-chrono-r1,4096,100,balanced_cert,30,4096,34.5,0,0.9333333333333333,0.9333333333333333,0.9833333333333333,0,0.6755800394929924,0.1591846663816849
trec-covid-chrono-r1,4096,100,balanced_zero,30,4096,100,0,1,1,1.0,0,0.6763514975145122,0.27864977494066717
trec-covid-chrono-r1,4096,100,blocker_cert,30,4096,38.6,0,0.9333333333333333,0.9333333333333333,0.9833333333333333,0,0.6755800394929924,0.1719186504461399
trec-covid-chrono-r1,4096,100,blocker_zero,30,4096,100,0,1,1,1.0,0,0.6763514975145122,0.27863431372888914
trec-covid-chrono-r1,4096,100,fixed_topL_zero,30,4096,100,0,1,1,1.0,0,0.6763514975145122,0.27864977494066717
trec-covid-chrono-r1,8192,20,balanced_cert,30,8192,18.966666666666665,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.10287365229194828
trec-covid-chrono-r1,8192,20,balanced_zero,30,8192,20,0,1,1,1.0,0,0.6763514975145122,0.10638787140616739
trec-covid-chrono-r1,8192,20,blocker_cert,30,8192,18.966666666666665,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.10287365229194828
trec-covid-chrono-r1,8192,20,blocker_zero,30,8192,20,0,1,1,1.0,0,0.6763514975145122,0.10600908352737952
trec-covid-chrono-r1,8192,20,fixed_topL_zero,30,8192,20,0,1,1,1.0,0,0.6763514975145122,0.10638787140616739
trec-covid-chrono-r1,8192,100,balanced_cert,30,8192,56.166666666666664,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.20293772386054973
trec-covid-chrono-r1,8192,100,balanced_zero,30,8192,100,0,1,1,1.0,0,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r1,8192,100,blocker_cert,30,8192,58.766666666666666,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.20741636428727728
trec-covid-chrono-r1,8192,100,blocker_zero,30,8192,100,0,1,1,1.0,0,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r1,8192,100,fixed_topL_zero,30,8192,100,0,1,1,1.0,0,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r1,10000,20,balanced_cert,30,10000,18.966666666666665,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.10287365229194828
trec-covid-chrono-r1,10000,20,balanced_zero,30,10000,20,0,1,1,1.0,0,0.6763514975145122,0.10600908352737952
trec-covid-chrono-r1,10000,20,blocker_cert,30,10000,18.966666666666665,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.10287365229194828
trec-covid-chrono-r1,10000,20,blocker_zero,30,10000,20,0,1,1,1.0,0,0.6763514975145122,0.10600908352737952
trec-covid-chrono-r1,10000,20,fixed_topL_zero,30,10000,20,0,1,1,1.0,0,0.6763514975145122,0.10600908352737952
trec-covid-chrono-r1,10000,100,balanced_cert,30,10000,58.8,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.20741636428727728
trec-covid-chrono-r1,10000,100,balanced_zero,30,10000,100,0,1,1,1.0,0,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r1,10000,100,blocker_cert,30,10000,58.8,0,0.9666666666666667,0.9666666666666667,0.9966666666666667,0,0.6763514975145122,0.20741636428727728
trec-covid-chrono-r1,10000,100,blocker_zero,30,10000,100,0,1,1,1.0,0,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r1,10000,100,fixed_topL_zero,30,10000,100,0,1,1,1.0,0,0.6763514975145122,0.27960000018578035
trec-covid-chrono-r2,128,20,balanced_cert,30,128,6.1,0,0.2,0.2,0.5599999999999999,0,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,20,balanced_zero,30,128,20,0,1,0.4,0.68,0,0.670280100688083,0.07047293851249169
trec-covid-chrono-r2,128,20,blocker_cert,30,128,6.1,0,0.2,0.2,0.5599999999999999,0,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,20,blocker_zero,30,128,20,0,1,0.4,0.68,0,0.670280100688083,0.07047293851249169
trec-covid-chrono-r2,128,20,fixed_topL_zero,30,128,20,0,1,0.4,0.68,0,0.670280100688083,0.07047293851249169
trec-covid-chrono-r2,128,100,balanced_cert,30,128,6.1,0,0.2,0.2,0.5599999999999999,0,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,100,balanced_zero,30,128,99.73333333333333,0,1,0.4,0.68,0,0.670280100688083,0.21239794592738256
trec-covid-chrono-r2,128,100,blocker_cert,30,128,6.1,0,0.2,0.2,0.5599999999999999,0,0.5078186609089235,0.030555680604275114
trec-covid-chrono-r2,128,100,blocker_zero,30,128,99.73333333333333,0,1,0.4,0.68,0,0.670280100688083,0.21239794592738256
trec-covid-chrono-r2,128,100,fixed_topL_zero,30,128,99.73333333333333,0,1,0.4,0.68,0,0.670280100688083,0.21239794592738256
trec-covid-chrono-r2,256,20,balanced_cert,30,256,9.933333333333334,0,0.4,0.4,0.74,0,0.5904331252671935,0.04511049922933347
trec-covid-chrono-r2,256,20,balanced_zero,30,256,20,0,1,0.7,0.87,0,0.684066779664236,0.0726435838899939
trec-covid-chrono-r2,256,20,blocker_cert,30,256,9.933333333333334,0,0.4,0.4,0.74,0,0.5904331252671935,0.04511049922933347
trec-covid-chrono-r2,256,20,blocker_zero,30,256,20,0,1,0.7,0.87,0,0.684066779664236,0.0726435838899939
trec-covid-chrono-r2,256,20,fixed_topL_zero,30,256,20,0,1,0.7,0.87,0,0.684066779664236,0.0726435838899939
trec-covid-chrono-r2,256,100,balanced_cert,30,256,10.333333333333334,0,0.4,0.4,0.74,0,0.5904331252671935,0.04705513895049049
trec-covid-chrono-r2,256,100,balanced_zero,30,256,100,0,1,0.7,0.87,0,0.684066779664236,0.21996208551490298
trec-covid-chrono-r2,256,100,blocker_cert,30,256,10.333333333333334,0,0.4,0.4,0.74,0,0.5904331252671935,0.04705513895049049
