dataset,query_id,budget,cap,method,dense_depth,sparse_depth,actual_reads,candidates,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,1,2048,20,fixed_topL_zero,1024,1024,2048,1691,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,2048,100,fixed_topL_zero,1024,1024,2048,1691,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,2048,20,balanced_zero,1024,1024,2048,1691,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,2048,100,balanced_zero,1024,1024,2048,1691,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,2048,20,balanced_cert,1024,1024,2048,1691,17,0,1,1,1.0,0,0.4402090130594238,0.029605263157894735
trec-covid-chrono-r1,1,2048,100,balanced_cert,1024,1024,2048,1691,17,0,1,1,1.0,0,0.4402090130594238,0.029605263157894735
trec-covid-chrono-r1,1,2048,20,blocker_zero,1024,1024,2048,1691,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,2048,100,blocker_zero,1024,1024,2048,1691,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,2048,20,blocker_cert,1024,1024,2048,1691,17,0,1,1,1.0,0,0.4402090130594238,0.029605263157894735
trec-covid-chrono-r1,1,2048,100,blocker_cert,1024,1024,2048,1691,17,0,1,1,1.0,0,0.4402090130594238,0.029605263157894735
trec-covid-chrono-r1,1,4096,20,fixed_topL_zero,2048,2048,4096,2815,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,4096,100,fixed_topL_zero,2048,2048,4096,2815,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,4096,20,balanced_zero,2048,2048,4096,2815,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,4096,100,balanced_zero,2048,2048,4096,2815,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,4096,20,balanced_cert,2048,2048,4096,2815,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,4096,100,balanced_cert,2048,2048,4096,2815,25,0,1,1,1.0,0,0.4402090130594238,0.03618421052631579
trec-covid-chrono-r1,1,4096,20,blocker_zero,1856,2240,4096,2767,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,4096,100,blocker_zero,1856,2240,4096,2767,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,4096,20,blocker_cert,1856,2240,4096,2767,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,4096,100,blocker_cert,1856,2240,4096,2767,27,0,1,1,1.0,0,0.4402090130594238,0.03618421052631579
trec-covid-chrono-r1,1,8192,20,fixed_topL_zero,4096,4096,8192,5513,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,8192,100,fixed_topL_zero,4096,4096,8192,5513,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,8192,20,balanced_zero,4096,4096,8192,5513,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,8192,100,balanced_zero,4096,4096,8192,5513,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,8192,20,balanced_cert,4096,4096,8192,5513,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,8192,100,balanced_cert,4096,4096,8192,5513,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,8192,20,blocker_zero,4096,4096,8192,5513,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,8192,100,blocker_zero,4096,4096,8192,5513,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,8192,20,blocker_cert,4096,4096,8192,5513,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,8192,100,blocker_cert,4096,4096,8192,5513,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,10000,20,fixed_topL_zero,5000,5000,10000,7069,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,10000,100,fixed_topL_zero,5000,5000,10000,7069,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,10000,20,balanced_zero,5000,5000,10000,7069,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,10000,100,balanced_zero,5000,5000,10000,7069,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,10000,20,balanced_cert,5000,5000,10000,7069,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,10000,100,balanced_cert,5000,5000,10000,7069,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,10000,20,blocker_zero,5000,5000,10000,7069,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,10000,100,blocker_zero,5000,5000,10000,7069,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,1,10000,20,blocker_cert,5000,5000,10000,7069,20,0,1,1,1.0,0,0.4402090130594238,0.03289473684210526
trec-covid-chrono-r1,1,10000,100,blocker_cert,5000,5000,10000,7069,100,0,1,1,1.0,0,0.4402090130594238,0.05263157894736842
trec-covid-chrono-r1,2,128,20,fixed_topL_zero,64,64,128,125,20,0,1,0,0.3,0,0.5771493379489847,0.09090909090909091
trec-covid-chrono-r1,2,128,100,fixed_topL_zero,64,64,128,125,100,0,1,0,0.3,0,0.5771493379489847,0.2727272727272727
trec-covid-chrono-r1,2,128,20,balanced_zero,64,64,128,125,20,0,1,0,0.3,0,0.5771493379489847,0.09090909090909091
trec-covid-chrono-r1,2,128,100,balanced_zero,64,64,128,125,100,0,1,0,0.3,0,0.5771493379489847,0.2727272727272727
trec-covid-chrono-r1,2,128,20,balanced_cert,64,64,128,125,2,0,0,0,0.2,0,0.3589542101716347,0.022727272727272728
trec-covid-chrono-r1,2,128,100,balanced_cert,64,64,128,125,2,0,0,0,0.2,0,0.3589542101716347,0.022727272727272728
