dataset,query_id,policy,work_budget,dense_depth,sparse_depth,actual_work,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
msmarco-passage-trec-dl-2019,1063750,blocker,128,64,64,128,0.5,0,4,0,-0.0004887599498033524,122,0.2885562289271896,0.37641213526708334,0.7665965092290248,0.010869565217391304,0.15579710144927536,0.06976744186046512
msmarco-passage-trec-dl-2019,1063750,blocker,256,128,128,256,0.5,0,6,0,-0.0029861684888601303,243,0.2885562289271896,0.37641213526708334,0.7665965092290248,0.010869565217391304,0.15579710144927536,0.06976744186046512
msmarco-passage-trec-dl-2019,1063750,blocker,512,256,256,512,0.5,0,6,0,-0.0008242204785346985,488,0.2885562289271896,0.37641213526708334,0.7665965092290248,0.010869565217391304,0.15579710144927536,0.06976744186046512
msmarco-passage-trec-dl-2019,1063750,blocker,1024,640,384,1024,0.625,256,9,0,-0.0005281157791614532,986,0.37641213526708334,0.37641213526708334,1.0,0.018115942028985508,0.15579710144927536,0.11627906976744187
msmarco-passage-trec-dl-2019,1063750,blocker,2048,1408,640,2048,0.6875,768,10,0,-7.601454854011536e-06,1982,0.37641213526708334,0.37641213526708334,1.0,0.018115942028985508,0.15579710144927536,0.11627906976744187
msmarco-passage-trec-dl-2019,1063750,blocker,4096,2048,2048,4096,0.5,0,16,0,-0.0002008490264415741,3969,0.37641213526708334,0.37641213526708334,1.0,0.03260869565217391,0.15579710144927536,0.20930232558139533
msmarco-passage-trec-dl-2019,1063750,blocker,8192,3192,5000,8192,0.3896484375,1808,17,0,-0.0001506861299276352,7969,0.37641213526708334,0.37641213526708334,1.0,0.03260869565217391,0.15579710144927536,0.20930232558139533
msmarco-passage-trec-dl-2019,1063750,blocker,10000,5000,5000,10000,0.5,0,17,0,-0.0001506861299276352,9713,0.37641213526708334,0.37641213526708334,1.0,0.03260869565217391,0.15579710144927536,0.20930232558139533
msmarco-passage-trec-dl-2019,1063750,pressure,128,64,64,128,0.5,0,4,0,-0.0004887599498033524,122,0.2885562289271896,0.37641213526708334,0.7665965092290248,0.010869565217391304,0.15579710144927536,0.06976744186046512
msmarco-passage-trec-dl-2019,1063750,pressure,256,128,128,256,0.5,0,6,0,-0.0029861684888601303,243,0.2885562289271896,0.37641213526708334,0.7665965092290248,0.010869565217391304,0.15579710144927536,0.06976744186046512
msmarco-passage-trec-dl-2019,1063750,pressure,512,256,256,512,0.5,0,6,0,-0.0008242204785346985,488,0.2885562289271896,0.37641213526708334,0.7665965092290248,0.010869565217391304,0.15579710144927536,0.06976744186046512
msmarco-passage-trec-dl-2019,1063750,pressure,1024,576,448,1024,0.5625,128,9,0,-0.0006418414413928986,985,0.37641213526708334,0.37641213526708334,1.0,0.018115942028985508,0.15579710144927536,0.11627906976744187
