dataset,query_id,policy,budget,reads,dense,sparse,k100,k20,certificate_calls,replay_seconds,schedule_seconds
msmarco-passage-trec-dl-2020,1109707,handoff64,512,512,244,268,22,20,282,0.15797841688618064,0.12339649477507919
msmarco-passage-trec-dl-2020,1109707,handoff,128,128,1,127,1,1,3,0.00017454102635383606,2.8417096473276615e-05
msmarco-passage-trec-dl-2020,1109707,handoff,256,256,129,127,6,6,4,0.00034933292772620916,8.883408736437559e-05
msmarco-passage-trec-dl-2020,1109707,handoff,512,512,244,268,22,20,156,0.11523504101205617,0.09439991170074791
msmarco-passage-trec-dl-2020,1109707,certificate-event,128,128,1,127,1,1,3,0.00016433303244411945,2.1332991309463978e-05
msmarco-passage-trec-dl-2020,1109707,certificate-event,256,256,129,127,6,6,4,0.00032737397123128176,7.324898615479469e-05
msmarco-passage-trec-dl-2020,1109707,certificate-event,512,512,250,262,22,20,20,0.010765664977952838,0.008349499898031354
msmarco-passage-trec-dl-2020,1109707,balanced64,128,128,64,64,3,3,3,0.000156833091750741,1.9170111045241356e-06
msmarco-passage-trec-dl-2020,1109707,balanced64,256,256,128,128,6,6,5,0.0003702910616993904,2.584187313914299e-06
msmarco-passage-trec-dl-2020,1109707,balanced64,512,512,256,256,22,20,9,0.0008975000819191337,3.666151314973831e-06
msmarco-passage-trec-dl-2020,390360,handoff,128,128,1,127,0,0,3,0.00026058300863951445,5.170807708054781e-05
msmarco-passage-trec-dl-2020,390360,handoff,256,256,128,128,8,8,9,0.002679915982298553,0.0017375401221215725
msmarco-passage-trec-dl-2020,390360,handoff,512,512,198,314,10,10,141,0.079626624006778,0.06149020534940064
msmarco-passage-trec-dl-2020,390360,certificate-event,128,128,1,127,0,0,3,0.00015183398500084877,2.1083164028823376e-05
msmarco-passage-trec-dl-2020,390360,certificate-event,256,256,129,127,8,8,7,0.001658458961173892,0.0009473751997575164
msmarco-passage-trec-dl-2020,390360,certificate-event,512,512,154,358,9,9,9,0.0026472919853404164,0.0016792501555755734
msmarco-passage-trec-dl-2020,390360,balanced64,128,128,64,64,6,6,3,0.00016054208390414715,1.4170072972774506e-06
msmarco-passage-trec-dl-2020,390360,balanced64,256,256,128,128,8,8,5,0.0003753340570256114,2.1260930225253105e-06
msmarco-passage-trec-dl-2020,390360,balanced64,512,512,256,256,10,10,9,0.0008627090137451887,3.0011869966983795e-06
msmarco-passage-trec-dl-2020,390360,blocker64,128,128,64,64,6,6,3,0.00015604204963892698,6.459071300923824e-06
msmarco-passage-trec-dl-2020,390360,blocker64,256,256,128,128,8,8,5,0.0003720000386238098,7.750117219984531e-06
msmarco-passage-trec-dl-2020,390360,blocker64,512,512,192,320,10,10,9,0.0008485830621793866,9.833020158112049e-06
msmarco-passage-trec-dl-2020,390360,pressure64,128,128,64,64,6,6,3,0.00018983392510563135,3.804208245128393e-05
msmarco-passage-trec-dl-2020,390360,pressure64,256,256,128,128,8,8,5,0.0009786259615793824,0.0006107500521466136
msmarco-passage-trec-dl-2020,390360,pressure64,512,512,256,256,10,10,9,0.0030935428803786635,0.002264917246066034
msmarco-passage-trec-dl-2020,390360,unit,128,128,62,66,6,6,129,0.00950508308596909,7.299939170479774e-05
msmarco-passage-trec-dl-2020,390360,unit,256,256,128,128,8,8,257,0.023657958023250103,0.0001491284929215908
msmarco-passage-trec-dl-2020,390360,unit,512,512,198,314,10,10,513,0.054483624058775604,0.00028913584537804127
msmarco-passage-trec-dl-2020,390360,handoff64,128,128,64,64,6,6,5,0.0006534159183502197,0.00021333503536880016
